고유번호,업소명,대분류,중분류,개업일,상태
119,두꺼비,전남,여수시,20180907,영업/정상
120,모스보이타이 (MOS PLOY THAI),경기도,화성시,20180907,영업/정상
121,나인클럽,경기도,동두천시,20180907,영업/정상
122,방실노래빠,경기도,성남시,20180906,영업/정상
123,키스,울산,울주군,20180906,영업/정상
124,부석가요주점,경북,영주시,20180905,영업/정상
125,일프로유흥주점,제주,서귀포시,20180903,영업/정상
126,필,부산,부산진구,20180831,영업/정상
127,두근두근,강원도,홍천군,20180831,영업/정상
128,누보,경기도,김포시,20180829,영업/정상
129,리치,경기도,김포시,20180829,영업/정상
130,알리바바,부산,부산진구,20180829,영업/정상
131,궁노래클럽,경기도,화성시,20180829,영업/정상
132,모델,전남,장흥군,20180829,영업/정상
133,폭스노래바,서울,은평구,20180828,영업/정상
134,소리바다 노래주점,경북,포항시,20180824,영업/정상
135,쇼걸,경기도,남양주시,20180823,영업/정상
136,비비안,경기도,하남시,20180823,영업/정상
137,링코노래타운,경기도,수원시,20180823,영업/정상
138,비너스,경기도,남양주시,20180820,영업/정상
139,월드컵,경기도,양평군,20180820,영업/정상
140,필노래타운,울산,남구,20180820,영업/정상
141,백야노래홀,광주광역시,북구,20180817,영업/정상
142,올레 노래짱,경기도,하남시,20180816,영업/정상
143,조이,서울,영등포구,20180816,영업/정상
144,미시노래클럽,인천,부평구,20180813,영업/정상
145,참치살롱라이브1961~,경기도,수원시,20180813,영업/정상
146,고봉희룸,경북,안동시,20180810,영업/정상
147,샤인빌노래주점,제주,서귀포시,20180810,영업/정상
148,티아라,서울,강북구,20180809,영업/정상
149,여몽,충남,태안군,20180809,영업/정상
150,거래가요주점,대구,달성군,20180809,영업/정상
151,킹스탠드클럽,울산,남구,20180809,영업/정상
152,39,서울,강남구,20180809,영업/정상
153,(주)롤핀뮤직타운,경기도,수원시,20180809,영업/정상
154,오렌지,경기도,김포시,20180808,영업/정상
155,모나코,경남,통영시,20180807,영업/정상
156,풀하우스 라이브 바,경남,창원시,20180807,영업/정상
157,청춘,경기도,용인시,20180807,영업/정상
158,하바나1노래타운,경기도,양주시,20180806,영업/정상
159,뮤직타운,충남,태안군,20180803,영업/정상
160,벤츠,인천,남동구,20180803,영업/정상
161,벤허,인천,남동구,20180803,영업/정상
162,소풍,인천,남동구,20180803,영업/정상
163,수 노래클럽,인천,연수구,20180802,영업/정상
164,벤츠가요주점,경남,창녕군,20180731,영업/정상
165,제너딘,서울,강남구,20180731,영업/정상
166,썸노래짱,경기도,성남시,20180731,영업/정상
167,어썸유흥주점,충남,보령시,20180730,영업/정상
168,파타야노래클럽,전북,완주군,20180730,영업/정상
169,콘서트노래클럽,인천,중구,20180730,영업/정상
170,부산프리,부산,부산진구,20180730,영업/정상
171,젠노래방,울산,울주군,20180727,영업/정상
172,로또룸크럼,인천,연수구,20180727,영업/정상
173,크로마(CHROMA),인천,중구,20180727,영업/정상
174,고래노래홀,전남,완도군,20180726,영업/정상
175,미래가요클럽,충남,청양군,20180726,영업/정상
176,브이아이피(VIP),경기도,동두천시,20180726,영업/정상
177,마불노래타운,경기도,동두천시,20180726,영업/정상
178,락휴노래타운서귀포점,제주,서귀포시,20180723,영업/정상
179,타임유흥주점,대구,달성군,20180723,영업/정상
180,제이룸가라오케,경남,창원시,20180723,영업/정상
181,응답하라 7080,경남,김해시,20180723,영업/정상
