발생년,발생년월일시,주야,요일,사망자수,사상자수,발생지시도,발생지시군구
2012,2012072003,야간,금,1,2,충북,진천군
2012,2012071108,주간,수,1,1,울산,울주군
2012,2012090910,주간,일,1,3,전북,부안군
2012,2012081020,야간,금,1,1,강원,원주시
2012,2012110204,야간,금,1,4,대구,수성구
2012,2012100621,야간,토,1,1,경기,안성시
2012,2012112404,야간,토,5,6,경기,안성시
2012,2012070504,야간,목,1,1,경북,김천시
2012,2012080720,야간,화,1,6,대구,동구
2012,2012081801,야간,토,1,1,경북,칠곡군
2012,2012011400,야간,토,1,5,인천,남동구
2012,2012011101,야간,수,1,1,경남,통영시
2012,2012021719,야간,금,1,1,충남,천안시
2012,2012032501,야간,일,1,1,경남,김해시
2012,2012042717,주간,금,2,3,전남,함평군
2012,2012040307,주간,화,1,1,경남,양산시
2012,2012050707,주간,월,1,28,경남,양산시
2012,2012042901,야간,일,1,1,경기,하남시
2012,2012052503,야간,금,1,2,경기,광주시
2012,2012061213,주간,화,1,1,충북,보은군
2012,2012070509,주간,목,5,10,경기,화성시
2012,2012061910,주간,화,1,1,울산,울주군
2012,2012061100,야간,일,4,5,인천,중구
2012,2012090803,야간,토,1,3,경남,산청군
2012,2012090608,주간,목,1,2,강원,원주시
2012,2012091901,야간,수,1,2,경기,안산시
2012,2012103003,야간,화,1,1,경기,용인시
2012,2012092721,야간,목,1,3,충북,청원군
2012,2012111410,주간,수,1,1,충북,음성군
2012,2012010116,주간,일,1,1,경북,상주시
2012,2012010313,주간,화,1,1,전북,고창군
2012,2012010409,주간,수,1,1,전북,군산시
2012,2012011216,주간,목,1,1,충남,천안시
2012,2012011023,야간,화,1,2,충남,논산시
2012,2012011106,주간,수,1,1,경남,진주시
2012,2012020319,야간,금,1,3,경북,경산시
2012,2012031806,주간,일,1,1,경북,청도군
2012,2012011612,주간,월,1,4,경기,수원시
2012,2012101722,야간,수,1,5,대구,동구
2012,2012091321,야간,수,1,1,울산,울주군
2012,2012111416,주간,수,1,9,경기,의왕시
2012,2012082205,야간,수,1,1,경북,경산시
2012,2012010206,주간,월,1,1,경기,화성시
2012,2012010720,야간,토,1,1,경북,안동시
2012,2012010906,주간,월,1,1,울산,남구
2012,2012010707,주간,토,1,1,충남,서산시
2012,2012010803,야간,일,1,2,대구,수성구
2012,2012010520,야간,목,1,1,충북,청주시
2012,2012011014,주간,화,1,1,경북,예천군
2012,2012011119,야간,수,1,1,전남,목포시
2012,2012011207,주간,목,1,1,경기,의왕시
2012,2012011123,야간,수,1,1,부산,연제구
2012,2012010815,주간,일,2,5,경북,영천시
2012,2012020400,야간,토,1,1,경기,평택시
2012,2012012905,야간,토,1,2,충남,당진시
2012,2012022921,야간,목,1,1,인천,남구
2012,2012051215,주간,토,1,3,강원,평창군
2012,2012052201,야간,화,1,5,전북,완주군
2012,2012032714,주간,화,4,9,경기,남양주시
2012,2012042421,야간,화,1,2,경남,밀양시
2012,2012051206,주간,토,1,1,인천,남동구
2012,2012010103,야간,일,1,1,경북,예천군
2012,2012010920,야간,월,1,2,경기,성남시
2012,2012010714,주간,토,3,7,충남,천안시
2012,2012011223,야간,목,1,2,대전,유성구
2012,2012011017,주간,화,1,1,전남,강진군
2012,2012012214,주간,일,1,5,대구,북구
2012,2012010510,주간,목,1,1,충북,옥천군
2012,2012061702,야간,일,1,1,경기,용인시
2012,2012070101,야간,일,1,2,경기,하남시
2012,2012072400,야간,화,1,1,경북,칠곡군
2012,2012122504,야간,화,1,2,경기,군포시
2012,2012090416,주간,화,1,8,전북,전주시
2012,2012092518,야간,화,1,2,경기,화성시
2012,2012092103,야간,금,1,1,경기,안성시
2012,2012102815,주간,일,1,5,전북,정읍시
2012,2012100402,야간,목,1,1,경기,하남시
2012,2012081817,주간,토,1,3,경기,여주시
2012,2012110302,야간,토,1,22,경북,예천군
2012,2012072520,야간,수,1,1,충남,서천군
2012,2012071422,야간,토,1,2,대구,북구
2012,2012062400,야간,일,1,1,경기,평택시
2012,2012071711,주간,화,1,1,전남,보성군
2012,2012020506,주간,일,1,4,충남,천안시
2012,2012050105,야간,화,1,8,경기,안양시
2012,2012032505,야간,일,1,1,경기,안양시
2012,2012071214,주간,목,1,2,충남,논산시
2012,2012061621,야간,토,1,6,전남,함평군
2012,2012061003,야간,일,1,1,전남,보성군
2012,2012070905,야간,월,1,1,울산,울주군
2012,2012062000,야간,수,1,3,경기,시흥시
2012,2012112714,주간,화,1,2,경북,고령군
2012,2012012800,야간,토,1,3,충남,천안시
2012,2012022101,야간,화,1,2,충북,청원군
2012,2012041321,야간,금,2,11,경북,상주시
2012,2012052523,야간,금,1,8,경북,상주시
2012,2012032100,야간,화,2,2,경북,상주시
2012,2012040303,야간,화,1,1,경북,상주시
2012,2012050402,야간,금,1,3,경북,상주시
2012,2012050917,주간,수,1,4,경기,용인시
2012,2012040716,주간,토,2,4,경기,이천시
2012,2012050809,주간,화,1,2,경북,상주시
2012,2012050221,야간,목,1,1,경북,영주시
2012,2012071813,주간,수,1,3,대구,달성군
2012,2012122809,주간,금,1,1,충북,옥천군
2012,2012102400,야간,수,1,1,충남,당진시
