발생년,발생년월일시,주야,요일,사망자수,사상자수,발생지
2015,2015052008,주간,수,1,1,울산 울주군
2015,2015051920,야간,화,1,1,경기 김포시
2015,2015052010,주간,수,1,1,전북 부안군
2015,2015051718,야간,일,1,1,경기 안산시
2015,2015051713,주간,일,1,1,충북 옥천군
2015,2015051718,야간,일,3,4,경남 사천시
2015,2015040500,야간,일,1,1,강원 태백시
2015,2015041104,야간,토,1,2,서울 은평구
2015,2015041002,야간,금,1,2,제주 서귀포시
2015,2015041222,야간,일,1,1,인천 서구
2015,2015041902,야간,일,1,3,경기 파주시
2015,2015041615,주간,목,1,3,경기 가평군
2015,2015041904,야간,일,1,1,충남 홍성군
2015,2015042005,야간,월,1,1,대구 수성구
2015,2015043020,야간,목,1,1,경기 파주시
2015,2015050517,주간,화,1,1,전북 완주군
2015,2015050619,야간,수,1,1,충남 천안시
2015,2015050619,야간,수,1,1,전남 여수시
2015,2015050412,주간,월,1,1,부산 서구
2015,2015050917,주간,토,1,1,서울 중랑구
2015,2015051213,주간,화,1,1,충남 논산시
2015,2015051122,야간,월,1,1,경기 김포시
2015,2015051110,주간,월,1,1,전남 광양시
2015,2015051618,야간,토,2,4,경기 의정부시
2015,2015051409,주간,목,1,1,경기 구리시
2015,2015051515,주간,금,1,1,경북 칠곡군
2015,2015052006,주간,수,1,3,충남 아산시
2015,2015040802,야간,수,1,3,인천 남구
2015,2015041116,주간,토,1,1,부산 금정구
2015,2015040918,야간,목,1,4,경기 고양시
2015,2015041322,야간,월,1,1,충북 청주시
2015,2015041515,주간,수,1,1,경북 울진군
2015,2015042516,주간,토,1,2,대구 중구
2015,2015042917,주간,수,1,5,전북 전주시
2015,2015042620,야간,일,1,1,서울 강북구
2015,2015042619,야간,일,1,1,강원 속초시
2015,2015042705,야간,월,1,1,경기 안양시
2015,2015050304,야간,일,1,4,충북 충주시
2015,2015050202,야간,토,1,1,전북 전주시
2015,2015042918,야간,수,1,1,경남 김해시
2015,2015050712,주간,목,1,1,경기 시흥시
2015,2015050410,주간,월,1,3,경북 포항시
2015,2015022012,주간,금,1,1,인천 서구
2015,2015022715,주간,금,1,2,충남 당진시
2015,2015022817,주간,토,1,2,대전 동구
2015,2015022606,주간,목,1,1,경남 김해시
2015,2015022519,야간,수,1,2,충남 아산시
2015,2015022605,야간,목,1,2,충남 계룡시
2015,2015022705,야간,금,1,1,경기 부천시
2015,2015030400,야간,수,1,1,경남 창녕군
2015,2015030205,야간,월,1,1,충남 천안시
2015,2015030200,야간,월,1,1,서울 용산구
2015,2015030208,주간,월,1,1,경남 김해시
2015,2015030120,야간,일,1,1,경북 영주시
2015,2015030212,주간,월,1,1,경기 부천시
2015,2015030923,야간,월,1,3,광주 광산구
2015,2015030919,야간,월,1,3,경기 여주시
2015,2015030801,야간,일,1,1,서울 강남구
2015,2015031516,주간,일,1,1,충남 홍성군
2015,2015031912,주간,목,1,1,경기 부천시
2015,2015031806,주간,수,1,2,대구 북구
2015,2015031813,주간,수,1,1,충남 공주시
2015,2015032316,주간,월,1,1,강원 동해시
2015,2015032412,주간,화,1,1,경남 김해시
2015,2015032205,야간,일,1,2,강원 홍천군
2015,2015032122,야간,토,1,1,부산 사상구
2015,2015032801,야간,토,1,1,경기 평택시
2015,2015032709,주간,금,1,1,전남 화순군
2015,2015032811,주간,토,1,6,충북 괴산군
2015,2015032610,주간,목,1,7,경기 화성시
2015,2015032616,주간,목,1,1,서울 용산구
2015,2015021205,야간,목,1,1,대전 대덕구
2015,2015021120,야간,수,1,1,강원 춘천시
2015,2015021213,주간,목,1,1,경기 성남시
2015,2015021900,야간,목,1,2,강원 인제군
2015,2015021818,야간,수,1,1,인천 부평구
2015,2015021923,야간,목,1,1,부산 남구
2015,2015021819,야간,수,1,1,서울 영등포구
2015,2015021701,야간,화,1,1,경북 안동시
2015,2015021614,주간,월,2,2,경기 의정부시
2015,2015021521,야간,일,1,1,경기 부천시
2015,2015022421,야간,화,1,1,서울 광진구
2015,2015022420,야간,화,1,1,서울 성북구
2015,2015022302,야간,월,1,3,전남 고흥군
2015,2015051223,야간,화,1,1,서울 금천구
2015,2015051522,야간,금,1,2,충북 청주시
2015,2015051900,야간,화,1,1,대구 중구
2015,2015051720,야간,일,1,1,경북 영천시
2015,2015051706,주간,일,1,1,경남 남해군
2015,2015051710,주간,일,1,2,전남 진도군
2015,2015051707,주간,일,1,2,경기 안성시
2015,2015040610,주간,월,1,2,충북 음성군
2015,2015041014,주간,금,1,3,전남 곡성군
2015,2015041513,주간,수,1,2,충남 예산군
2015,2015041215,주간,일,1,1,전북 남원시
2015,2015041204,야간,일,1,1,부산 사상구
2015,2015041313,주간,월,1,1,전북 무주군
2015,2015041302,야간,월,1,1,서울 서대문구
2015,2015041813,주간,토,1,1,충남 아산시
2015,2015042511,주간,토,1,1,강원 춘천시
2015,2015042520,야간,토,1,1,강원 철원군
2015,2015042523,야간,토,1,1,강원 원주시
2015,2015042522,야간,토,1,3,대전 서구
2015,2015042620,야간,일,1,1,전북 군산시
2015,2015050615,주간,수,1,1,경남 창녕군
2015,2015050500,야간,화,1,1,서울 광진구
2015,2015051008,주간,일,1,1,서울 노원구
2015,2015050719,야간,목,1,2,경북 상주시
2015,2015051211,주간,화,2,3,전북 완주군
2015,2015051322,야간,수,1,1,전북 전주시
2015,2015051612,주간,토,1,1,경기 이천시
2015,2015051602,야간,토,1,1,서울 광진구
2015,2015051610,주간,토,1,1,강원 영월군
2015,2015051511,주간,금,1,2,충북 충주시
2015,2015051511,주간,금,2,3,전북 진안군
2015,2015052102,야간,목,1,1,경기 성남시
2015,2015051915,주간,화,1,1,경기 고양시
2015,2015051914,주간,화,1,2,경남 밀양시
2015,2015051820,야간,월,1,1,전북 김제시
2015,2015051810,주간,월,1,1,전남 보성군
2015,2015051622,야간,토,1,1,대전 유성구
2015,2015051621,야간,토,1,1,경북 포항시
2015,2015051616,주간,토,2,2,충남 당진시
2015,2015051819,야간,월,1,1,경기 부천시
2015,2015040817,주간,수,1,1,경기 남양주시
2015,2015040422,야간,토,1,1,경기 양주시
2015,2015040520,야간,일,1,1,충북 음성군
2015,2015040605,야간,월,1,1,전남 순천시
2015,2015030206,주간,월,1,1,경남 하동군
