사망자수,사상자,도,시,기타,년도
9,9,전남,화순군,개수,2016
18,18,전북,고창군,개수,2016
27,27,전북,군산시,개수,2016
24,24,전북,김제시,개수,2016
23,23,전북,남원시,개수,2016
4,4,전북,무주군,개수,2016
17,17,전북,부안군,개수,2016
13,13,전북,순창군,개수,2016
27,27,전북,완주군,개수,2016
35,35,전북,익산시,개수,2016
8,8,전북,임실군,개수,2016
5,5,전북,장수군,개수,2016
50,50,전북,전주시,개수,2016
22,22,전북,정읍시,개수,2016
2,2,전북,진안군,개수,2016
34,34,제주,서귀포시,개수,2016
43,43,제주,제주시,개수,2016
26,26,충남,공주시,개수,2016
13,13,충남,금산군,개수,2016
34,34,충남,논산시,개수,2016
29,29,충남,당진시,개수,2016
21,21,충남,보령시,개수,2016
27,27,충남,부여군,개수,2016
29,29,충남,서산시,개수,2016
19,19,충남,서천군,개수,2016
35,35,충남,아산시,개수,2016
24,24,충남,예산군,개수,2016
58,58,충남,천안시,개수,2016
15,15,충남,청양군,개수,2016
23,23,충남,태안군,개수,2016
19,19,충남,홍성군,개수,2016
15,15,충북,괴산군,개수,2016
8,8,충북,단양군,개수,2016
8,8,충북,보은군,개수,2016
12,12,충북,영동군,개수,2016
8,8,충북,옥천군,개수,2016
23,23,충북,음성군,개수,2016
20,20,충북,제천시,개수,2016
1,1,충북,증평군,개수,2016
12,12,충북,진천군,개수,2016
74,74,충북,청주시,개수,2016
40,40,충북,충주시,개수,2016
