발생년,발생년월일시,주야,요일,사망자수,사상자수,발생지시도,발생지시군구
2017,2017010101,야간,일,1,2,전남,장성군
2017,2017010102,야간,일,1,1,서울,송파구
2017,2017010102,야간,일,1,2,충남,홍성군
2017,2017010102,야간,일,1,1,충남,아산시
2017,2017010104,야간,일,1,1,서울,금천구
2017,2017010104,야간,일,1,2,강원,춘천시
2017,2017010105,야간,일,1,1,경기,화성시
2017,2017010109,주간,일,1,5,광주,북구
2017,2017010118,야간,일,1,3,제주,서귀포시
2017,2017010120,야간,일,1,7,충남,공주시
2017,2017010122,야간,일,2,2,전남,무안군
2017,2017010203,야간,월,1,2,울산,울주군
2017,2017010204,야간,월,1,1,서울,은평구
2017,2017010206,주간,월,1,1,전북,전주시
2017,2017010207,주간,월,1,1,충남,예산군
2017,2017010207,주간,월,1,1,제주,제주시
2017,2017010208,주간,월,1,1,서울,영등포구
2017,2017010209,주간,월,1,2,경북,청송군
2017,2017010210,주간,월,1,1,경남,양산시
2017,2017010212,주간,월,1,1,경북,울진군
2017,2017010217,주간,월,1,5,서울,금천구
2017,2017010217,주간,월,1,1,서울,광진구
2017,2017010217,주간,월,1,1,경북,의성군
2017,2017010217,주간,월,1,1,경기,안성시
2017,2017010217,주간,월,1,1,경남,남해군
2017,2017010218,야간,월,1,1,전남,순천시
2017,2017010301,야간,화,1,1,경기,안성시
2017,2017010305,야간,화,1,1,강원,원주시
2017,2017010306,주간,화,2,4,부산,강서구
2017,2017010306,주간,화,1,1,충남,천안시
2017,2017010309,주간,화,1,1,경남,산청군
2017,2017010310,주간,화,1,1,경기,안성시
2017,2017010311,주간,화,1,1,전남,담양군
2017,2017010312,주간,화,1,1,제주,제주시
2017,2017010318,야간,화,1,1,경기,평택시
2017,2017010318,야간,화,1,1,제주,제주시
2017,2017010318,야간,화,1,1,서울,관악구
2017,2017010322,야간,화,1,1,경기,남양주시
2017,2017010322,야간,화,1,1,전북,전주시
2017,2017010400,야간,수,1,1,경기,수원시
2017,2017010405,야간,수,1,1,경기,안양시
2017,2017010409,주간,수,1,1,서울,중랑구
2017,2017010412,주간,수,1,1,경기,시흥시
2017,2017010412,주간,수,1,2,경기,이천시
2017,2017010500,야간,목,1,2,경기,이천시
2017,2017010501,야간,목,1,1,경남,진주시
2017,2017010503,야간,목,1,1,경기,성남시
2017,2017010506,주간,목,1,2,전북,전주시
2017,2017010510,주간,목,1,1,서울,광진구
2017,2017010510,주간,목,1,1,대구,남구
2017,2017010511,주간,목,1,4,경기,오산시
2017,2017010518,야간,목,1,1,전북,익산시
2017,2017010518,야간,목,1,1,제주,제주시
2017,2017010520,야간,목,1,1,강원,양양군
2017,2017010520,야간,목,1,1,경북,경주시
2017,2017010522,야간,목,1,2,대전,대덕구
2017,2017010522,야간,목,1,1,전북,임실군
2017,2017010522,야간,목,1,1,경기,고양시
2017,2017010600,야간,금,1,1,서울,성동구
2017,2017010601,야간,금,1,1,경남,합천군
2017,2017010606,주간,금,1,1,서울,성북구
2017,2017010607,주간,금,1,1,세종,세종
2017,2017010611,주간,금,1,1,부산,강서구
2017,2017010614,주간,금,1,1,경기,시흥시
2017,2017010615,주간,금,1,1,충남,서천군
2017,2017010617,주간,금,1,1,충북,진천군
2017,2017010617,주간,금,1,1,경북,경산시
2017,2017010620,야간,금,1,1,경기,포천시
2017,2017010622,야간,금,1,1,경기,성남시
2017,2017010623,야간,금,1,1,경기,수원시
2017,2017010700,야간,토,1,1,경기,하남시
2017,2017010704,야간,토,1,1,강원,춘천시
2017,2017010705,야간,토,1,1,인천,남동구
2017,2017010707,주간,토,1,2,경남,진주시
2017,2017010707,주간,토,1,1,충남,태안군
2017,2017010707,주간,토,1,1,전남,여수시
2017,2017010716,주간,토,1,2,경남,통영시
2017,2017010719,야간,토,1,1,충남,보령시
2017,2017010719,야간,토,1,1,제주,제주시
2017,2017010800,야간,일,1,1,서울,영등포구
2017,2017010800,야간,일,1,2,광주,서구
2017,2017010805,야간,일,1,3,충남,부여군
2017,2017010814,주간,일,1,1,대구,수성구
2017,2017010815,주간,일,1,2,충북,옥천군
2017,2017010818,야간,일,1,1,경기,부천시
2017,2017010821,야간,일,1,1,충남,예산군
2017,2017010822,야간,일,1,1,경기,양주시
2017,2017010904,야간,월,1,1,인천,계양구
2017,2017010906,주간,월,1,2,경기,안산시
2017,2017010907,주간,월,1,1,전북,김제시
2017,2017010910,주간,월,1,1,경북,울진군
2017,2017010912,주간,월,1,2,경기,여주시
2017,2017010915,주간,월,1,1,강원,원주시
2017,2017010915,주간,월,1,4,울산,북구
2017,2017010916,주간,월,1,1,전북,김제시
2017,2017010917,주간,월,1,3,경기,파주시
2017,2017010918,야간,월,1,1,강원,속초시
2017,2017011001,야간,화,1,1,경북,포항시
2017,2017011004,야간,화,1,1,전북,전주시
2017,2017011006,주간,화,1,1,전남,진도군
2017,2017011009,주간,화,1,1,경기,수원시
2017,2017011011,주간,화,1,2,세종,세종
2017,2017011012,주간,화,1,9,광주,서구
2017,2017011013,주간,화,1,1,경기,동두천시
2017,2017011014,주간,화,1,1,충남,논산시
2017,2017011018,야간,화,1,1,경기,수원시
2017,2017011021,야간,화,1,1,충남,천안시
2017,2017011021,야간,화,1,1,강원,인제군
2017,2017011022,야간,화,1,2,서울,양천구
2017,2017011101,야간,수,1,3,경기,안성시
2017,2017011102,야간,수,1,1,경기,남양주시
2017,2017011104,야간,수,1,1,대전,서구
2017,2017011106,주간,수,1,1,부산,동래구
2017,2017011112,주간,수,1,1,강원,삼척시
2017,2017011113,주간,수,1,1,부산,기장군
2017,2017011116,주간,수,1,1,강원,홍천군
2017,2017011116,주간,수,1,4,충남,서천군
2017,2017011118,야간,수,1,1,경남,거제시
2017,2017011118,야간,수,1,1,전남,담양군
2017,2017011120,야간,수,1,1,울산,동구
2017,2017011205,야간,목,1,1,전남,여수시
2017,2017011206,주간,목,1,1,경기,부천시
2017,2017011208,주간,목,1,1,서울,송파구
2017,2017011212,주간,목,1,1,충북,진천군
2017,2017011218,야간,목,1,1,충북,청주시
2017,2017011222,야간,목,1,1,경남,진주시
2017,2017011301,야간,금,1,1,경기,김포시
2017,2017011306,주간,금,1,1,서울,동작구
2017,2017011307,주간,금,1,2,충남,논산시
2017,2017011311,주간,금,1,1,서울,서초구
2017,2017011312,주간,금,1,1,충남,서산시
2017,2017011318,야간,금,1,6,부산,금정구
2017,2017011318,야간,금,1,1,경기,안산시
2017,2017011318,야간,금,1,3,강원,평창군
2017,2017011403,야간,토,1,2,경기,화성시
2017,2017011404,야간,토,1,1,대구,남구
2017,2017011406,주간,토,1,1,경기,안산시
2017,2017011407,주간,토,1,1,전남,무안군
2017,2017011407,주간,토,1,1,경기,오산시
2017,2017011409,주간,토,1,1,충북,보은군
2017,2017011413,주간,토,2,2,경북,구미시
2017,2017011419,야간,토,1,1,경북,울진군
2017,2017011419,야간,토,1,1,충남,홍성군
2017,2017011423,야간,토,1,2,충남,아산시
2017,2017011423,야간,토,1,3,광주,북구
2017,2017011504,야간,일,1,1,전남,진도군
2017,2017011506,주간,일,1,1,울산,남구
2017,2017011507,주간,일,1,1,전북,전주시
2017,2017011507,주간,일,1,1,경북,경주시
