발생년,발생년월일시,주야,요일,사망자수,사상자수,발생지
2016,2016031120,야간,금,1,1,경남 양산시
2016,2016031123,야간,금,1,1,대구 남구
2016,2016031105,야간,금,1,1,서울 강남구
2016,2016031412,주간,월,1,4,강원 양양군
2016,2016030904,야간,수,1,1,경기 수원시
2016,2016031615,주간,수,1,1,경남 김해시
2016,2016031616,주간,수,1,1,충북 청주시
2016,2016031604,야간,수,1,1,대구 달성군
2016,2016031706,주간,목,1,1,부산 금정구
2016,2016032214,주간,화,1,1,제주 서귀포시
2016,2016032214,주간,화,1,1,전남 진도군
2016,2016032217,주간,화,1,1,경기 고양시
2016,2016032618,야간,토,1,1,대전 동구
2016,2016032510,주간,금,1,1,충북 제천시
2016,2016040106,주간,금,1,1,충남 아산시
2016,2016032906,주간,화,1,1,서울 강남구
2016,2016040409,주간,월,1,1,경기 여주시
2016,2016040812,주간,금,1,3,전남 담양군
2016,2016040705,야간,목,1,1,서울 서초구
2016,2016040615,주간,수,1,1,울산 남구
2016,2016031918,야간,토,1,1,충남 당진시
2016,2016031913,주간,토,1,1,충남 서산시
2016,2016032015,주간,일,2,3,경기 시흥시
2016,2016031722,야간,목,1,1,대구 동구
2016,2016022609,주간,금,1,1,경기 남양주시
2016,2016032401,야간,목,1,1,인천 남구
2016,2016032300,야간,수,1,3,서울 서초구
2016,2016032319,야간,수,1,1,전북 익산시
2016,2016032610,주간,토,1,1,전남 고흥군
2016,2016032710,주간,일,1,1,경북 구미시
2016,2016032519,야간,금,1,1,전남 신안군
2016,2016033003,야간,수,1,1,경기 광명시
2016,2016033009,주간,수,1,1,강원 양구군
2016,2016033011,주간,수,1,2,경북 구미시
2016,2016032922,야간,화,1,1,경기 의정부시
2016,2016033006,주간,수,1,2,충북 청주시
2016,2016033112,주간,목,1,1,전남 무안군
2016,2016033107,주간,목,1,1,대구 북구
2016,2016040515,주간,화,1,1,충북 청주시
2016,2016040608,주간,수,1,1,충남 천안시
2016,2016031002,야간,목,1,1,충남 예산군
2016,2016030910,주간,수,1,2,경기 고양시
2016,2016031518,야간,화,1,1,경기 과천시
2016,2016032221,야간,화,1,1,세종 세종
2016,2016032505,야간,금,1,1,경기 안산시
2016,2016032213,주간,화,1,2,전남 담양군
2016,2016032219,야간,화,1,1,충남 서천군
2016,2016032816,주간,월,2,2,대구 수성구
2016,2016033015,주간,수,1,1,광주 북구
2016,2016032514,주간,금,1,1,대구 동구
2016,2016040518,야간,화,1,2,충북 청주시
2016,2016040511,주간,화,1,2,경남 창원시(통합)
2016,2016040412,주간,월,1,1,충남 논산시
2016,2016031220,야간,토,1,1,충북 제천시
2016,2016031423,야간,월,1,1,경북 포항시
2016,2016031305,야간,일,1,1,대구 북구
2016,2016031722,야간,목,1,1,서울 용산구
2016,2016032307,주간,수,1,1,광주 동구
2016,2016032323,야간,수,1,1,서울 강서구
2016,2016032020,야간,일,1,1,전남 여수시
2016,2016032807,주간,월,1,9,전남 여수시
2016,2016032721,야간,일,1,1,충남 부여군
2016,2016032502,야간,금,1,2,경기 의정부시
2016,2016032522,야간,금,1,2,대전 유성구
2016,2016040101,야간,금,1,1,서울 강북구
2016,2016032819,야간,월,1,1,충남 태안군
2016,2016021908,주간,금,1,1,전북 완주군
2016,2016032906,주간,화,1,1,대구 수성구
2016,2016040605,야간,수,1,3,서울 용산구
2016,2016040222,야간,토,1,1,경기 안성시
2016,2016031005,야간,목,1,1,경북 경주시
2016,2016031618,야간,수,1,1,강원 춘천시
2016,2016031519,야간,화,1,1,경기 광주시
2016,2016031514,주간,화,1,2,제주 서귀포시
2016,2016031612,주간,수,1,1,충남 홍성군
2016,2016031800,야간,금,1,2,부산 해운대구
2016,2016031723,야간,목,1,1,경북 청도군
2016,2016032403,야간,목,1,2,경남 창원시(통합)
2016,2016032810,주간,월,1,1,대구 북구
2016,2016032811,주간,월,1,4,경기 성남시
2016,2016040303,야간,일,1,1,대구 수성구
2016,2016040314,주간,일,1,1,충남 공주시
2016,2016030914,주간,수,1,1,경북 안동시
2016,2016031514,주간,화,1,1,전남 완도군
2016,2016031521,야간,화,1,1,충남 논산시
2016,2016031518,야간,화,1,1,전북 완주군
2016,2016031520,야간,화,1,6,서울 동대문구
2016,2016031702,야간,목,2,3,전남 무안군
2016,2016032801,야간,월,1,1,울산 남구
2016,2016032509,주간,금,1,2,경기 파주시
2016,2016032511,주간,금,1,2,충남 서천군
2016,2016032917,주간,화,1,1,강원 원주시
2016,2016032820,야간,월,1,2,경남 진주시
2016,2016032817,주간,월,1,1,충북 증평군
2016,2016032813,주간,월,1,1,대구 수성구
2016,2016040303,야간,일,2,2,서울 동작구
2016,2016040409,주간,월,1,1,충남 천안시
2016,2016040311,주간,일,1,2,경기 연천군
2016,2016040216,주간,토,1,1,경북 영덕군
2016,2016031617,주간,수,1,1,전남 곡성군
2016,2016031412,주간,월,1,1,경남 진주시
2016,2016031301,야간,일,1,1,서울 영등포구
2016,2016031321,야간,일,1,1,제주 제주시
2016,2016031410,주간,월,1,1,경기 안양시
2016,2016032414,주간,목,1,1,충북 괴산군
