징수년,징수시도,징수시군구,징수분류,징수금액
2016,경남,김해시,지방소득세,99028235
2016,경남,밀양시,지방소득세,13427158
2016,경남,거제시,지방소득세,57778202
2016,경남,양산시,지방소득세,71907229
2016,경남,의령군,지방소득세,4243541
2016,경남,함안군,지방소득세,17431383
2016,경남,창녕군,지방소득세,13980490
2016,경남,남해군,지방소득세,3091132
2016,경남,하동군,지방소득세,6292462
2016,경남,산청군,지방소득세,4675503
2016,경남,함양군,지방소득세,2871466
2016,경남,거창군,지방소득세,4920042
2016,경남,합천군,지방소득세,3515279
