징수년,징수시도,징수시군구,징수분류,징수금액
2015,경기도,하남시,주민세,1868875
2015,경기도,용인시,주민세,28364668
2015,경기도,파주시,주민세,15215454
2015,경기도,이천시,주민세,13609488
2015,경기도,안성시,주민세,6763654
2015,경기도,김포시,주민세,5639167
2015,경기도,화성시,주민세,47229897
2015,경기도,광주시,주민세,4602769
2015,경기도,양주시,주민세,3110480
2015,경기도,포천시,주민세,3509822
2015,경기도,여주군,주민세,2194558
2015,경기도,연천군,주민세,357454
2015,경기도,가평군,주민세,768077
2015,경기도,양평군,주민세,795744
2015,경기도,수원시,지방소득세,396338528
2015,경기도,성남시,지방소득세,349370169
2015,경기도,의정부시,지방소득세,30103172
2015,경기도,안양시,지방소득세,105673348
2015,경기도,부천시,지방소득세,92801000
2015,경기도,광명시,지방소득세,44251461
2015,경기도,평택시,지방소득세,123993083
2015,경기도,동두천시,지방소득세,6467480
2015,경기도,안산시,지방소득세,127577906
2015,경기도,고양시,지방소득세,119346853
2015,경기도,과천시,지방소득세,28341732
2015,경기도,구리시,지방소득세,19284069
2015,경기도,남양주시,지방소득세,52623028
2015,경기도,오산시,지방소득세,23701441
2015,경기도,시흥시,지방소득세,74661750
2015,경기도,군포시,지방소득세,48808586
2015,경기도,의왕시,지방소득세,31807783
2015,경기도,하남시,지방소득세,28887319
2015,경기도,용인시,지방소득세,334013867
2015,경기도,파주시,지방소득세,77929769
2015,경기도,이천시,지방소득세,130813439
2015,경기도,안성시,지방소득세,43128233
2015,경기도,김포시,지방소득세,52303307
2015,경기도,화성시,지방소득세,431864035
2015,경기도,광주시,지방소득세,48807760
2015,경기도,양주시,지방소득세,21079654
2015,경기도,포천시,지방소득세,23261532
2015,경기도,여주군,지방소득세,17291482
2015,경기도,연천군,지방소득세,3809020
2015,경기도,가평군,지방소득세,7742119
2015,경기도,양평군,지방소득세,11629514
2016,경기도,수원시,취득세,390717463
2016,경기도,성남시,취득세,524994616
2016,경기도,의정부시,취득세,131180266
2016,경기도,안양시,취득세,244861090
2016,경기도,부천시,취득세,265697995
2016,경기도,광명시,취득세,94812000
2016,경기도,평택시,취득세,355606761
2016,경기도,동두천시,취득세,22613517
2016,경기도,안산시,취득세,228347045
2016,경기도,고양시,취득세,445556029
2016,경기도,과천시,취득세,43400119
2016,경기도,구리시,취득세,77471018
2016,경기도,남양주시,취득세,243331756
2016,경기도,오산시,취득세,70549030
2016,경기도,시흥시,취득세,260680438
2016,경기도,군포시,취득세,75819513
2016,경기도,의왕시,취득세,94798345
2016,경기도,하남시,취득세,330150030
2016,경기도,용인시,취득세,437263699
2016,경기도,파주시,취득세,186063591
2016,경기도,이천시,취득세,130394314
2016,경기도,안성시,취득세,99114149
2016,경기도,김포시,취득세,249715808
2016,경기도,화성시,취득세,555986614
2016,경기도,광주시,취득세,178169334
2016,경기도,양주시,취득세,88902225
