징수년,징수시도,징수시군구,징수분류,징수금액
2014,강원도,춘천시,취득세,66199922
2014,강원도,원주시,취득세,101985605
2014,강원도,강릉시,취득세,45786650
2014,강원도,동해시,취득세,18988361
2014,강원도,태백시,취득세,9402039
2014,강원도,속초시,취득세,15153285
2014,강원도,삼척시,취득세,20177527
2014,강원도,홍천군,취득세,27595233
2014,강원도,횡성군,취득세,13339628
2014,강원도,영월군,취득세,8784549
2014,강원도,평창군,취득세,21488844
2014,강원도,정선군,취득세,6843461
2014,강원도,철원군,취득세,7962253
2014,강원도,화천군,취득세,3892965
2014,강원도,양구군,취득세,3096279
2014,강원도,인제군,취득세,5414149
2014,강원도,고성군,취득세,7292750
2014,강원도,양양군,취득세,6969651
2014,강원도,춘천시,주민세,2970984
2014,강원도,원주시,주민세,4952106
2014,강원도,강릉시,주민세,2653570
2014,강원도,동해시,주민세,1666064
2014,강원도,태백시,주민세,584768
2014,강원도,속초시,주민세,799513
2014,강원도,삼척시,주민세,1763243
2014,강원도,홍천군,주민세,36683852
2014,강원도,횡성군,주민세,20300646
2014,강원도,영월군,주민세,13212983
2014,강원도,평창군,주민세,25912226
2014,강원도,정선군,주민세,33000366
2014,강원도,철원군,주민세,15354082
2014,강원도,화천군,주민세,8518703
2014,강원도,양구군,주민세,6886574
2014,강원도,인제군,주민세,11754070
2014,강원도,고성군,주민세,11489103
2014,강원도,양양군,주민세,12073063
2014,강원도,춘천시,지방소득세,22812892
2014,강원도,원주시,지방소득세,30055437
2014,강원도,강릉시,지방소득세,19668664
2014,강원도,동해시,지방소득세,7338600
2014,강원도,태백시,지방소득세,3136944
2014,강원도,속초시,지방소득세,4999339
2014,강원도,삼척시,지방소득세,6076235
2014,강원도,홍천군,지방소득세,1063914
2014,강원도,횡성군,지방소득세,709048
2014,강원도,영월군,지방소득세,578145
2014,강원도,평창군,지방소득세,820791
2014,강원도,정선군,지방소득세,1727576
2014,강원도,철원군,지방소득세,279599
2014,강원도,화천군,지방소득세,107761
2014,강원도,양구군,지방소득세,100144
2014,강원도,인제군,지방소득세,249321
2014,강원도,고성군,지방소득세,366664
2014,강원도,양양군,지방소득세,339266
2015,강원도,춘천시,취득세,71222644
2015,강원도,원주시,취득세,130105346
2015,강원도,강릉시,취득세,55077703
2015,강원도,동해시,취득세,19926134
2015,강원도,태백시,취득세,6435717
2015,강원도,속초시,취득세,18946854
2015,강원도,삼척시,취득세,21941964
2015,강원도,홍천군,취득세,26351385
2015,강원도,횡성군,취득세,15147262
2015,강원도,영월군,취득세,9225443
2015,강원도,평창군,취득세,20840417
2015,강원도,정선군,취득세,7445015
2015,강원도,철원군,취득세,9590257
2015,강원도,화천군,취득세,4593601
2015,강원도,양구군,취득세,4307739
2015,강원도,인제군,취득세,5901663
2015,강원도,고성군,취득세,7458476
2015,강원도,양양군,취득세,8228750
2015,강원도,춘천시,주민세,3595847
2015,강원도,원주시,주민세,5864533
2015,강원도,강릉시,주민세,3009499
2015,강원도,동해시,주민세,2190715
2015,강원도,태백시,주민세,710102
2015,강원도,속초시,주민세,992120
2015,강원도,삼척시,주민세,2417912
2015,강원도,홍천군,주민세,38551969
2015,강원도,횡성군,주민세,22019923
2015,강원도,영월군,주민세,14258947
2015,강원도,평창군,주민세,26813088
2015,강원도,정선군,주민세,34643918
2015,강원도,철원군,주민세,16059075
2015,강원도,화천군,주민세,9447762
2015,강원도,양구군,주민세,7393353
2015,강원도,인제군,주민세,12532497
2015,강원도,고성군,주민세,13280483
2015,강원도,양양군,주민세,13288555
2015,강원도,춘천시,지방소득세,37315049
2015,강원도,원주시,지방소득세,39630722
2015,강원도,강릉시,지방소득세,24790647
2015,강원도,동해시,지방소득세,9363133
2015,강원도,태백시,지방소득세,4537746
2015,강원도,속초시,지방소득세,6372966
2015,강원도,삼척시,지방소득세,9419786
2015,강원도,홍천군,지방소득세,1202724
2015,강원도,횡성군,지방소득세,930296
2015,강원도,영월군,지방소득세,663598
2015,강원도,평창군,지방소득세,1137825
2015,강원도,정선군,지방소득세,1827812
2015,강원도,철원군,지방소득세,303752
2015,강원도,화천군,지방소득세,129040
