범죄대분류,범죄중분류,계,서울,부산,대구,인천,광주,대전,울산,경기 부천,경기 수원,경기 성남,전북 전주,경기 안양,충북 청주,경남 창원,경기 광명,경북 포항,경기 안산,경남 진주,경기 고양,제주,전남 목포,경기 의정부,전북 익산,전북 군산,경북 구미,충남 천안,전남 여수,강원 춘천,강원 원주,경기 평택,경북 경주,경남 김해,전남 순천,경기 군포,경기 남양주,강원 강릉,충북 충주,경북 안동,경북 경산,충남 아산,경남 거제,경북 김천,전북 정읍,경기 용인,경기 시흥,경기 파주,경남 양산,경기 이천,경기 구리,충남 서산,충북 제천,충남 논산,기타도시,도시이외
지능범죄,문서  인장,"13,295","2,932","1,212",558,668,444,403,279,228,298,210,226,113,229,237,47,91,238,77,198,172,67,124,83,67,93,133,100,73,68,141,62,110,65,48,134,65,27,54,83,56,70,24,33,193,81,97,54,39,68,45,39,45,1146,848
지능범죄,유가증권인지,219,101,6,4,12,6,2,0,6,4,1,1,1,1,1,3,2,4,1,3,0,0,1,0,0,1,0,2,2,1,0,0,1,0,1,7,0,2,2,0,2,0,0,2,2,3,2,1,0,2,0,0,1,16,9
지능범죄,사기,"241,613","51,561","20,372","10,547","13,175","6,753","7,065","4,873","5,094","5,517","4,090","2,916","2,208","3,335","5,568","1,044","2,395","4,221","1,312","3,795","2,116","1,201","1,859","1,239","2,195","2,621","3,248","1,753",973,"1,787","2,313","1,065","2,666",913,"1,146","2,190",942,940,"1,324",877,"1,076","1,426",393,513,"2,925","2,311","1,990","1,284","1,066","1,141",779,448,531,"20,851","14,670"
지능범죄,횡령,"50,053","15,367","2,971","1,892","2,997","1,516","1,328",827,"1,028","1,211","1,110",361,733,555,765,373,262,841,127,"1,185",717,210,542,146,172,330,608,174,181,257,486,182,339,153,207,507,178,167,94,223,207,490,54,63,691,429,392,191,145,256,93,73,72,3639,"1,936"
지능범죄,배임,"4,358","1,024",312,124,225,121,72,94,66,76,76,46,23,37,78,25,25,44,34,71,32,21,18,14,28,36,35,19,17,27,33,24,39,6,17,34,13,12,11,5,24,24,4,11,64,25,36,17,10,10,18,14,6,420,661
풍속범죄,성풍속범죄,"12,719","3,498","1,064",643,"1,228",266,336,174,225,394,350,109,276,151,188,74,64,257,46,223,192,31,115,21,39,68,157,26,49,49,188,37,82,30,64,91,36,29,16,60,46,35,9,9,186,113,47,49,60,105,22,16,8,79,274
풍속범죄,도박범죄,"13,446","2,149","1,137",943,483,401,560,752,185,290,248,236,257,246,309,70,118,146,52,128,291,89,73,192,190,221,127,61,30,54,69,184,82,76,32,109,21,37,43,117,68,115,20,14,119,80,108,55,30,26,47,26,30,1152,748
특별경제범죄,특별경제범죄,"65,025","17,109","8,134","2,756","3,741","1,616","1,465","1,159","1,054","1,402","1,459",420,746,682,997,756,478,"1,039",455,"1,010",1356,238,562,214,215,386,724,209,301,255,674,183,585,221,314,555,156,160,154,231,279,349,90,62,614,549,486,272,186,244,116,74,64,5176,"2,293"
마약범죄,마약범죄,"7,329","1,449",963,334,641,75,117,78,80,95,66,44,35,151,164,26,16,110,128,92,39,19,117,9,10,39,59,39,62,69,111,23,152,25,9,63,9,52,16,26,37,42,20,1,90,55,38,33,16,30,31,35,14,555,720
보건범죄,보건범죄,"14,662","3,875","2,365",289,957,249,213,226,132,324,204,155,113,121,261,104,92,147,102,214,114,37,108,68,87,78,83,53,51,65,130,48,131,41,81,359,54,56,29,23,45,53,37,32,140,72,64,93,58,56,14,55,23,1130,951
환경범죄,환경범죄,"4,349",58,223,11,85,8,14,47,19,20,13,5,8,8,69,10,53,106,46,41,28,24,7,41,17,29,36,"1,291",11,21,78,43,78,3,2,63,21,5,14,1,2,31,5,6,86,79,65,8,25,4,31,7,11,809,523
교통범죄,교통범죄,"600,401","74,270","32,944","31,682","30,972","22,137","14,524","14,105","10,437","17,841","12,472","5,580","5,789","10,373","12,594","3,141","7,488","13,356","3,749","12,280","15,702","4,356","3,726","3,088","2,834","8,552","8,371","4,975","5,004","6,378","9,630","3,794","7,346","5,024","2,801","5,542","2,387","4,168","1,609","2,344","2,455","4,820","1,916","1,095","8,695","10,640","6,456","3,760","3,023","2,225","1,617","1,773","1,326","63,245","43,990"
노동범죄,노동범죄,"2,457",509,209,96,80,29,96,75,54,59,25,20,359,19,78,12,19,13,12,47,11,27,57,4,8,21,19,6,8,5,12,3,33,7,4,35,5,5,3,11,11,21,2,3,24,14,11,11,5,12,2,2,0,67,67
안보범죄,안보범죄,81,19,6,2,4,8,1,2,2,5,2,0,0,1,4,0,0,0,0,2,2,0,1,0,1,0,4,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,3
선거범죄,선거범죄,"1,018",180,60,28,64,7,17,33,12,17,11,22,5,6,23,9,6,23,18,10,17,4,4,19,8,10,12,24,5,2,7,1,14,3,2,13,2,1,11,0,0,4,1,5,11,10,10,8,6,3,4,8,1,108,129
병역범죄,병역범죄,"16,651","4,120",662,615,"1,281",330,555,222,311,415,314,161,135,315,292,63,137,268,80,347,229,98,160,65,89,199,604,59,61,72,141,50,173,65,63,236,41,50,25,96,88,104,20,18,203,183,142,164,59,75,38,25,66,1506,761
기타범죄,기타범죄,"260,539","44,407","22,296","10,712","14,952","4,809","5,268","4,784","6,287","8,542","6,863","2,871","2,876","3,713","4,535","1,476","1,828","6,007","1,349","4,025","4,745","1,758","2,064","1,539","2,014","1,414","2,523","1,143","1,188","1,378","5,288",913,"2,036",823,"1,101","3,232","1,252",672,551,876,946,"1,223",413,369,"4,291","4,021","1,705","1,476","1,364","1,123",635,434,439,"30,006","17,984"
