범죄대분류,범죄중분류,도시,발생수,발생년도
지능범죄,증수뢰,인천,12,2016
지능범죄,통화,인천,131,2016
지능범죄,문서  인장,인천,668,2016
지능범죄,유가증권인지,인천,12,2016
지능범죄,사기,인천,"13,175",2016
지능범죄,횡령,인천,"2,997",2016
지능범죄,배임,인천,225,2016
풍속범죄,성풍속범죄,인천,"1,228",2016
풍속범죄,도박범죄,인천,483,2016
특별경제범죄,특별경제범죄,인천,"3,741",2016
마약범죄,마약범죄,인천,641,2016
보건범죄,보건범죄,인천,957,2016
환경범죄,환경범죄,인천,85,2016
교통범죄,교통범죄,인천,"30,972",2016
노동범죄,노동범죄,인천,80,2016
안보범죄,안보범죄,인천,4,2016
선거범죄,선거범죄,인천,64,2016
병역범죄,병역범죄,인천,"1,281",2016
기타범죄,기타범죄,인천,"14,952",2016
강력범죄,살인기수,광주,9,2016
강력범죄,살인미수등,광주,8,2016
강력범죄,강도,광주,47,2016
강력범죄,강간,광주,170,2016
강력범죄,유사강간,광주,21,2016
강력범죄,강제추행,광주,488,2016
강력범죄,기타 강간  강제추행등,광주,15,2016
강력범죄,방화,광주,38,2016
절도범죄,절도범죄,광주,"6,050",2016
폭력범죄,상해,광주,"1,309",2016
폭력범죄,폭행,광주,"4,797",2016
폭력범죄,체포  감금,광주,43,2016
폭력범죄,협박,광주,400,2016
폭력범죄,약취  유인,광주,8,2016
폭력범죄,폭력행위등,광주,389,2016
폭력범죄,공갈,광주,114,2016
폭력범죄,손괴,광주,"1,550",2016
지능범죄,직무유기,광주,20,2016
지능범죄,직권남용,광주,8,2016
지능범죄,증수뢰,광주,9,2016
지능범죄,통화,광주,19,2016
지능범죄,문서  인장,광주,444,2016
지능범죄,유가증권인지,광주,6,2016
지능범죄,사기,광주,"6,753",2016
지능범죄,횡령,광주,"1,516",2016
지능범죄,배임,광주,121,2016
풍속범죄,성풍속범죄,광주,266,2016
풍속범죄,도박범죄,광주,401,2016
특별경제범죄,특별경제범죄,광주,"1,616",2016
마약범죄,마약범죄,광주,75,2016
보건범죄,보건범죄,광주,249,2016
환경범죄,환경범죄,광주,8,2016
교통범죄,교통범죄,광주,"22,137",2016
노동범죄,노동범죄,광주,29,2016
안보범죄,안보범죄,광주,8,2016
선거범죄,선거범죄,광주,7,2016
병역범죄,병역범죄,광주,330,2016
기타범죄,기타범죄,광주,"4,809",2016
강력범죄,살인기수,대전,16,2016
강력범죄,살인미수등,대전,9,2016
강력범죄,강도,대전,35,2016
강력범죄,강간,대전,171,2016
강력범죄,유사강간,대전,14,2016
강력범죄,강제추행,대전,420,2016
강력범죄,기타 강간  강제추행등,대전,15,2016
강력범죄,방화,대전,44,2016
절도범죄,절도범죄,대전,"6,981",2016
폭력범죄,상해,대전,"1,415",2016
폭력범죄,폭행,대전,"5,121",2016
폭력범죄,체포  감금,대전,30,2016
폭력범죄,협박,대전,528,2016
폭력범죄,약취  유인,대전,4,2016
폭력범죄,폭력행위등,대전,418,2016
폭력범죄,공갈,대전,130,2016
폭력범죄,손괴,대전,"1,537",2016
지능범죄,직무유기,대전,10,2016
지능범죄,직권남용,대전,15,2016
지능범죄,증수뢰,대전,6,2016
지능범죄,통화,대전,78,2016
지능범죄,문서  인장,대전,403,2016
지능범죄,유가증권인지,대전,2,2016
지능범죄,사기,대전,"7,065",2016
지능범죄,횡령,대전,"1,328",2016
지능범죄,배임,대전,72,2016
풍속범죄,성풍속범죄,대전,336,2016
풍속범죄,도박범죄,대전,560,2016
특별경제범죄,특별경제범죄,대전,"1,465",2016
마약범죄,마약범죄,대전,117,2016
보건범죄,보건범죄,대전,213,2016
환경범죄,환경범죄,대전,14,2016
교통범죄,교통범죄,대전,"14,524",2016
노동범죄,노동범죄,대전,96,2016
안보범죄,안보범죄,대전,1,2016
선거범죄,선거범죄,대전,17,2016
병역범죄,병역범죄,대전,555,2016
기타범죄,기타범죄,대전,"5,268",2016
강력범죄,살인기수,울산,7,2016
강력범죄,살인미수등,울산,15,2016
강력범죄,강도,울산,33,2016
강력범죄,강간,울산,112,2016
강력범죄,유사강간,울산,16,2016
강력범죄,강제추행,울산,293,2016
강력범죄,기타 강간  강제추행등,울산,9,2016
강력범죄,방화,울산,38,2016
절도범죄,절도범죄,울산,"4,227",2016
폭력범죄,상해,울산,"1,422",2016
폭력범죄,폭행,울산,"4,026",2016
폭력범죄,체포  감금,울산,28,2016
폭력범죄,협박,울산,461,2016
폭력범죄,약취  유인,울산,3,2016
폭력범죄,폭력행위등,울산,268,2016
폭력범죄,공갈,울산,95,2016
폭력범죄,손괴,울산,"1,500",2016
지능범죄,직무유기,울산,9,2016
지능범죄,직권남용,울산,13,2016
지능범죄,증수뢰,울산,6,2016
지능범죄,통화,울산,19,2016
지능범죄,문서  인장,울산,279,2016
지능범죄,유가증권인지,울산,0,2016
지능범죄,사기,울산,"4,873",2016
지능범죄,횡령,울산,827,2016
지능범죄,배임,울산,94,2016
풍속범죄,성풍속범죄,울산,174,2016
풍속범죄,도박범죄,울산,752,2016
특별경제범죄,특별경제범죄,울산,"1,159",2016
마약범죄,마약범죄,울산,78,2016
보건범죄,보건범죄,울산,226,2016
환경범죄,환경범죄,울산,47,2016
교통범죄,교통범죄,울산,"14,105",2016
노동범죄,노동범죄,울산,75,2016
안보범죄,안보범죄,울산,2,2016
선거범죄,선거범죄,울산,33,2016
병역범죄,병역범죄,울산,222,2016
기타범죄,기타범죄,울산,"4,784",2016
강력범죄,살인기수,경기 부천,6,2016
강력범죄,살인미수등,경기 부천,11,2016
강력범죄,강도,경기 부천,17,2016
강력범죄,강간,경기 부천,108,2016
강력범죄,유사강간,경기 부천,15,2016
강력범죄,강제추행,경기 부천,339,2016
강력범죄,기타 강간  강제추행등,경기 부천,10,2016
강력범죄,방화,경기 부천,24,2016
절도범죄,절도범죄,경기 부천,"4,471",2016
폭력범죄,상해,경기 부천,560,2016
폭력범죄,폭행,경기 부천,"3,398",2016
폭력범죄,체포  감금,경기 부천,23,2016
폭력범죄,협박,경기 부천,319,2016
폭력범죄,약취  유인,경기 부천,2,2016
폭력범죄,폭력행위등,경기 부천,226,2016
폭력범죄,공갈,경기 부천,87,2016
폭력범죄,손괴,경기 부천,"1,221",2016
지능범죄,직무유기,경기 부천,6,2016
지능범죄,직권남용,경기 부천,3,2016
지능범죄,증수뢰,경기 부천,4,2016
지능범죄,통화,경기 부천,16,2016
지능범죄,문서  인장,경기 부천,228,2016
지능범죄,유가증권인지,경기 부천,6,2016
지능범죄,사기,경기 부천,"5,094",2016
지능범죄,횡령,경기 부천,"1,028",2016
지능범죄,배임,경기 부천,66,2016
풍속범죄,성풍속범죄,경기 부천,225,2016
풍속범죄,도박범죄,경기 부천,185,2016
특별경제범죄,특별경제범죄,경기 부천,"1,054",2016
마약범죄,마약범죄,경기 부천,80,2016
보건범죄,보건범죄,경기 부천,132,2016
환경범죄,환경범죄,경기 부천,19,2016
교통범죄,교통범죄,경기 부천,"10,437",2016
노동범죄,노동범죄,경기 부천,54,2016
안보범죄,안보범죄,경기 부천,2,2016
선거범죄,선거범죄,경기 부천,12,2016
병역범죄,병역범죄,경기 부천,311,2016
기타범죄,기타범죄,경기 부천,"6,287",2016
강력범죄,살인기수,경기 성남,5,2016
강력범죄,살인미수등,경기 성남,4,2016
강력범죄,강도,경기 성남,17,2016
강력범죄,강간,경기 성남,114,2016
강력범죄,유사강간,경기 성남,10,2016
강력범죄,강제추행,경기 성남,348,2016
강력범죄,기타 강간  강제추행등,경기 성남,6,2016
강력범죄,방화,경기 성남,21,2016
절도범죄,절도범죄,경기 성남,"3,963",2016
폭력범죄,상해,경기 성남,755,2016
폭력범죄,폭행,경기 성남,"3,115",2016
폭력범죄,체포  감금,경기 성남,11,2016
폭력범죄,협박,경기 성남,340,2016
폭력범죄,약취  유인,경기 성남,5,2016
폭력범죄,폭력행위등,경기 성남,222,2016
폭력범죄,공갈,경기 성남,47,2016
폭력범죄,손괴,경기 성남,"1,058",2016
지능범죄,직무유기,경기 성남,6,2016
지능범죄,직권남용,경기 성남,15,2016
지능범죄,증수뢰,경기 성남,1,2016
지능범죄,통화,경기 성남,61,2016
지능범죄,문서  인장,경기 성남,210,2016
지능범죄,유가증권인지,경기 성남,1,2016
지능범죄,사기,경기 성남,"4,090",2016
지능범죄,횡령,경기 성남,"1,110",2016
지능범죄,배임,경기 성남,76,2016
풍속범죄,성풍속범죄,경기 성남,350,2016
풍속범죄,도박범죄,경기 성남,248,2016
특별경제범죄,특별경제범죄,경기 성남,"1,459",2016
마약범죄,마약범죄,경기 성남,66,2016
보건범죄,보건범죄,경기 성남,204,2016
환경범죄,환경범죄,경기 성남,13,2016
교통범죄,교통범죄,경기 성남,"12,472",2016
노동범죄,노동범죄,경기 성남,25,2016
안보범죄,안보범죄,경기 성남,2,2016
선거범죄,선거범죄,경기 성남,11,2016
병역범죄,병역범죄,경기 성남,314,2016
기타범죄,기타범죄,경기 성남,"6,863",2016
강력범죄,살인기수,경기 수원,10,2016
강력범죄,살인미수등,경기 수원,19,2016
강력범죄,강도,경기 수원,26,2016
강력범죄,강간,경기 수원,124,2016
강력범죄,유사강간,경기 수원,24,2016
강력범죄,강제추행,경기 수원,408,2016
강력범죄,기타 강간  강제추행등,경기 수원,14,2016
강력범죄,방화,경기 수원,29,2016
절도범죄,절도범죄,경기 수원,"5,610",2016
폭력범죄,상해,경기 수원,951,2016
폭력범죄,폭행,경기 수원,"4,326",2016
폭력범죄,체포  감금,경기 수원,26,2016
폭력범죄,협박,경기 수원,493,2016
폭력범죄,약취  유인,경기 수원,5,2016
폭력범죄,폭력행위등,경기 수원,437,2016
폭력범죄,공갈,경기 수원,85,2016
폭력범죄,손괴,경기 수원,"1,560",2016
지능범죄,직무유기,경기 수원,7,2016
지능범죄,직권남용,경기 수원,17,2016
지능범죄,증수뢰,경기 수원,2,2016
지능범죄,통화,경기 수원,45,2016
지능범죄,문서  인장,경기 수원,298,2016
지능범죄,유가증권인지,경기 수원,4,2016
지능범죄,사기,경기 수원,"5,517",2016
지능범죄,횡령,경기 수원,"1,211",2016
지능범죄,배임,경기 수원,76,2016
풍속범죄,성풍속범죄,경기 수원,394,2016
풍속범죄,도박범죄,경기 수원,290,2016
특별경제범죄,특별경제범죄,경기 수원,"1,402",2016
마약범죄,마약범죄,경기 수원,95,2016
보건범죄,보건범죄,경기 수원,324,2016
환경범죄,환경범죄,경기 수원,20,2016
교통범죄,교통범죄,경기 수원,"17,841",2016
노동범죄,노동범죄,경기 수원,59,2016
안보범죄,안보범죄,경기 수원,5,2016
선거범죄,선거범죄,경기 수원,17,2016
병역범죄,병역범죄,경기 수원,415,2016
기타범죄,기타범죄,경기 수원,"8,542",2016
강력범죄,살인기수,경기 안양,6,2016
강력범죄,살인미수등,경기 안양,4,2016
강력범죄,강도,경기 안양,7,2016
강력범죄,강간,경기 안양,45,2016
강력범죄,유사강간,경기 안양,4,2016
강력범죄,강제추행,경기 안양,220,2016
강력범죄,기타 강간  강제추행등,경기 안양,3,2016
