범죄대분류,범죄중분류,계,서울,부산,대구,인천,광주,대전,울산,경기 부천,경기 수원,경기 성남,전북 전주,경기 안양,충북 청주,경남 창원,경기 광명,경북 포항,경기 안산,경남 진주,경기 고양,제주,전남 목포,경기 의정부,전북 익산,전북 군산,경북 구미,충남 천안,전남 여수,강원 춘천,강원 원주,경기 평택,경북 경주,경남 김해,전남 순천,경기 군포,경기 남양주,강원 강릉,충북 충주,경북 안동,경북 경산,충남 아산,경남 거제,경북 김천,전북 정읍,경기 용인,경기 시흥,경기 파주,경남 양산,경기 이천,경기 구리,충남 서산,충북 제천,충남 논산,기타도시,도시이외
지능범죄 ,유가증권인지,456,178,20,19,27,14,9,3,9,7,6,5,5,5,9,4,1,14,0,11,1,1,2,1,3,8,1,3,1,1,3,1,4,0,0,6,3,1,0,1,0,0,0,0,3,6,3,3,3,1,2,0,1,25,22
지능범죄 ,사기,269082,61108,23617,11297,15211,7920,8158,5133,5133,5152,4770,3107,2323,2438,5455,1344,3278,3863,1551,4596,3316,1952,2177,1233,4181,3315,3295,1286,875,1466,2379,1255,2765,1154,980,2007,1183,998,1061,1545,1017,1585,536,406,3031,2713,2071,1383,872,1136,853,574,559,20389,18080
지능범죄 ,횡령,34892,8591,2976,1218,2236,1019,876,534,794,815,825,290,358,218,600,159,228,554,121,807,394,164,342,130,145,233,347,130,126,266,293,137,299,110,154,311,109,75,106,152,148,195,47,45,441,293,268,164,155,124,85,80,55,2509,3041
지능범죄 ,배임,4617,1337,258,126,251,81,75,103,65,75,80,44,60,36,63,10,34,58,25,67,30,20,25,27,24,19,35,33,26,15,31,25,43,9,10,44,17,13,4,15,28,29,7,6,60,38,44,19,22,7,11,6,9,396,622
풍속범죄 ,성풍속범죄,19385,4136,2617,1192,1223,688,667,324,428,385,406,308,392,193,260,129,194,375,114,407,219,78,119,171,69,125,181,39,58,116,181,73,195,45,80,102,67,45,41,156,52,52,60,16,230,164,161,93,43,105,27,19,21,1168,576
풍속범죄 ,도박범죄,7988,1085,544,350,409,334,431,158,123,147,130,83,38,104,205,51,106,189,44,91,124,87,53,78,51,87,102,97,39,46,75,49,60,86,22,47,19,74,35,26,63,114,31,19,62,81,31,60,23,30,22,20,21,706,826
특별경제범죄 ,특별경제범죄 ,71019,19684,5365,3030,4902,1837,1430,1350,1494,1611,1615,492,761,601,1139,681,623,1080,419,1234,1105,326,655,250,251,571,872,354,260,413,646,325,514,230,406,547,246,183,142,245,309,240,126,55,884,787,673,268,276,284,113,103,128,5260,3624
마약범죄,마약범죄,4598,877,669,343,356,45,95,41,44,67,103,15,23,24,132,16,14,65,75,39,22,3,42,5,18,26,17,11,37,18,66,7,104,13,8,38,5,6,8,14,12,38,19,11,33,26,34,33,9,13,19,6,1,403,430
보건범죄,보건범죄,20383,3900,2945,416,716,343,234,316,176,802,281,136,100,103,322,85,114,229,153,230,946,51,101,65,349,110,93,98,45,64,134,82,204,53,83,191,170,32,37,46,26,40,52,31,146,173,59,78,48,56,47,26,21,4076,949
환경범죄,환경범죄,4135,45,961,15,53,9,15,51,6,15,10,3,1,7,39,6,77,10,25,34,151,18,4,19,30,25,24,457,18,15,42,19,127,15,0,27,33,13,5,6,5,19,9,9,39,49,31,7,42,13,24,16,18,799,625
교통범죄,교통범죄,573453,86560,31638,35431,30232,26251,11847,13949,10241,11169,8789,7403,6372,6503,11165,1917,8932,7546,4844,11224,11848,4410,3858,4035,3939,8431,7785,4374,6097,5086,6382,5224,7458,4650,2240,4399,2302,3393,2061,2803,2064,3745,2084,1153,6936,6581,4879,4186,2589,2230,1882,2164,1272,53138,45762
노동범죄,노동범죄,1721,243,98,73,118,75,26,47,56,26,3,17,14,31,17,2,1,36,24,8,30,414,11,8,4,3,10,3,1,4,28,1,3,9,4,4,3,7,6,2,2,1,0,1,6,20,2,5,35,1,2,2,0,88,86
안보범죄,안보범죄,135,56,7,8,7,2,1,1,6,1,4,4,0,2,9,0,0,0,1,1,1,1,0,0,1,0,1,0,2,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,1,5,4
선거범죄,선거범죄,398,76,34,19,6,7,8,14,2,6,16,5,4,2,6,0,8,7,2,15,4,0,1,3,2,3,1,2,0,1,0,8,6,3,3,6,2,6,2,10,1,1,4,2,3,0,0,2,1,3,2,0,0,29,50
병역범죄,병역범죄,26173,7242,1392,949,2024,483,560,492,639,719,469,203,362,395,606,117,235,509,89,410,239,170,296,85,91,319,355,101,132,178,208,81,283,92,95,385,73,54,57,131,66,126,27,29,281,333,234,191,164,56,62,25,75,1824,1360
기타범죄,기타범죄,188956,34911,18418,7720,10953,4540,3831,3384,3346,3605,2816,1965,1572,1713,3887,773,2713,2388,1195,2804,4632,1092,1354,992,2934,1134,1760,5890,896,1073,2097,756,1981,659,617,1543,705,443,471,721,595,1964,306,363,1886,1346,1056,776,761,481,484,348,387,15950,17969
