발생년,발생년월일시,주야,요일,사망자수,사상자수,발생지시도,발생지시군구
2013,2013120916,주간,월,1,1,경기,용인시
2013,2013010220,야간,수,1,3,제주,서귀포시
2013,2013121506,주간,일,1,1,경기,고양시
2013,2013010118,야간,화,1,8,대전,유성구
2013,2013010720,야간,월,1,1,서울,마포구
2013,2013011011,주간,목,1,1,전남,영광군
2013,2013010822,야간,화,1,1,전북,익산시
2013,2013011813,주간,금,1,1,경기,김포시
2013,2013011523,야간,화,1,1,경남,김해시
2013,2013011522,야간,화,1,1,강원,강릉시
2013,2013011316,주간,일,1,1,서울,영등포구
2013,2013012302,야간,수,2,4,충북,음성군
2013,2013012408,주간,목,1,1,경기,포천시
2013,2013012114,주간,월,1,1,충북,괴산군
2013,2013012107,주간,월,1,1,전북,정읍시
2013,2013012114,주간,월,1,1,경기,안양시
2013,2013012106,주간,월,1,1,경기,용인시
2013,2013011907,주간,토,1,1,경기,여주시
2013,2013012002,야간,일,1,1,울산,울주군
2013,2013011823,야간,금,1,1,경기,시흥시
2013,2013022216,주간,금,1,1,경북,안동시
2013,2013012001,야간,일,1,1,경기,고양시
2013,2013011923,야간,토,1,1,서울,강동구
2013,2013012106,주간,월,1,3,경기,용인시
2013,2013012807,주간,월,1,1,서울,종로구
2013,2013012916,주간,화,1,1,강원,양양군
2013,2013012921,야간,화,1,1,충북,진천군
2013,2013013018,야간,수,1,1,전남,보성군
2013,2013013018,야간,수,1,4,강원,양양군
2013,2013012710,주간,일,1,2,전남,광양시
2013,2013012617,주간,토,1,2,경기,고양시
2013,2013012506,주간,금,1,1,울산,중구
2013,2013012418,야간,목,1,1,강원,인제군
2013,2013011306,주간,일,1,1,서울,종로구
2013,2013011905,야간,토,1,1,전남,순천시
2013,2013011417,주간,월,1,1,경기,성남시
2013,2013011519,야간,화,1,1,서울,마포구
2013,2013011606,주간,수,1,1,대구,북구
2013,2013011618,야간,수,1,1,경남,통영시
2013,2013011606,주간,수,1,1,서울,서대문구
2013,2013012207,주간,화,1,1,경북,경산시
2013,2013011919,야간,토,1,1,서울,성북구
2013,2013011906,주간,토,1,1,전북,익산시
2013,2013012004,야간,일,1,2,경북,청송군
2013,2013012019,야간,일,1,1,경기,화성시
2013,2013011920,야간,토,1,1,전남,순천시
2013,2013022008,주간,수,1,2,전북,군산시
2013,2013012113,주간,월,1,1,전북,전주시
2013,2013012022,야간,일,1,2,제주,제주시
2013,2013012918,야간,화,1,1,경기,광주시
2013,2013013007,주간,수,1,1,서울,성북구
2013,2013012518,야간,금,1,1,경북,구미시
2013,2013012602,야간,토,1,1,울산,울주군
2013,2013012510,주간,금,1,1,경남,함양군
2013,2013012511,주간,금,1,1,충북,청원군
2013,2013012419,야간,목,1,1,대전,유성구
2013,2013020407,주간,월,1,1,경기,평택시
2013,2013020406,주간,월,1,2,경기,평택시
2013,2013020400,야간,월,1,2,부산,사상구
2013,2013020300,야간,일,1,1,경남,창원시(통합)
2013,2013020111,주간,금,1,1,경기,파주시
2013,2013020213,주간,토,1,1,경남,함안군
2013,2013020203,야간,토,1,2,충남,서산시
2013,2013020208,주간,토,1,2,전북,남원시
2013,2013020206,주간,토,2,5,경기,포천시
2013,2013080710,주간,수,1,8,충북,청원군
2013,2013081701,야간,토,1,1,충북,충주시
2013,2013070920,야간,화,1,2,충북,단양군
2013,2013071614,주간,화,1,5,서울,송파구
2013,2013102708,주간,일,1,6,경북,경산시
2013,2013010502,야간,토,1,1,대전,유성구
2013,2013010516,주간,토,1,1,충남,예산군
2013,2013010514,주간,토,1,1,전북,익산시
2013,2013010419,야간,금,1,1,경기,용인시
2013,2013010411,주간,금,1,1,경기,안산시
2013,2013011103,야간,금,1,3,충북,청주시
2013,2013011022,야간,목,1,3,서울,강남구
2013,2013011814,주간,금,1,1,경북,청송군
2013,2013011815,주간,금,1,1,경남,창녕군
2013,2013011318,야간,일,1,1,경기,화성시
2013,2013092708,주간,금,1,1,강원,횡성군
2013,2013091320,야간,금,1,2,강원,평창군
2013,2013041312,주간,토,1,22,경기,평택시
2013,2013010707,주간,월,1,1,서울,영등포구
