발생년,발생년월일시,주야,요일,사망자수,사상자수,발생지시도,발생지시군구
2014,2014030500,야간,수,1,1,제주,제주시
2014,2014031502,야간,토,1,1,경기,양주시
2014,2014031522,야간,토,1,1,서울,은평구
2014,2014031519,야간,토,1,2,강원,원주시
2014,2014031304,야간,목,1,1,부산,강서구
2014,2014031303,야간,목,1,2,울산,북구
2014,2014021914,주간,수,1,2,강원,양구군
2014,2014022601,야간,수,1,1,전남,함평군
2014,2014022707,주간,목,1,1,경기,광주시
2014,2014022715,주간,목,1,2,서울,강동구
2014,2014030317,주간,월,1,1,대전,서구
2014,2014022818,야간,금,1,1,충남,당진시
2014,2014030408,주간,화,1,2,인천,부평구
2014,2014030309,주간,월,1,1,경기,가평군
2014,2014022720,야간,목,1,1,경북,영주시
2014,2014030321,야간,월,1,1,서울,영등포구
2014,2014030409,주간,화,1,1,경기,광명시
2014,2014032019,야간,목,1,1,충남,당진시
2014,2014030618,야간,목,1,1,경남,진주시
2014,2014032209,주간,토,1,4,서울,노원구
2014,2014032209,주간,토,1,1,울산,동구
2014,2014032316,주간,일,1,1,부산,남구
2014,2014031821,야간,화,1,1,경기,수원시
2014,2014031810,주간,화,1,2,전남,나주시
2014,2014031923,야간,수,3,11,서울,송파구
2014,2014021815,주간,화,1,1,서울,영등포구
2014,2014022714,주간,목,1,1,서울,노원구
2014,2014030305,야간,월,1,1,부산,강서구
2014,2014030305,야간,월,1,1,부산,강서구
2014,2014021906,주간,수,1,1,제주,제주시
2014,2014021808,주간,화,1,2,강원,횡성군
2014,2014021720,야간,월,1,1,경기,오산시
2014,2014021614,주간,일,1,1,충남,논산시
2014,2014021806,주간,화,1,1,울산,동구
2014,2014021816,주간,화,1,1,경기,안산시
2014,2014022707,주간,목,1,1,전남,진도군
2014,2014022523,야간,화,1,4,광주,광산구
2014,2014022610,주간,수,1,1,전북,김제시
2014,2014030101,야간,토,1,1,경남,통영시
2014,2014030103,야간,토,1,4,서울,영등포구
2014,2014030100,야간,토,1,3,경북,경산시
2014,2014030202,야간,일,1,1,경남,함안군
2014,2014030718,야간,금,1,1,부산,남구
2014,2014030715,주간,금,1,1,충남,천안시
2014,2014030600,야간,목,1,1,강원,원주시
2014,2014030505,야간,수,1,1,광주,남구
2014,2014030619,야간,목,1,1,서울,강남구
