행정구역별,연도별,연령별,총인구,총인구_남자,총인구_여자,내국인_남자,내국인_여자,총인구_외국인,외국인_남자,외국인_여자,외국인비율
충북 충주,2017,85세이상,3186,857,2329,857,2327,2,0,2,0.0006
충북 충주,2017,85~89세,2265,612,1653,612,1651,2,0,2,0.0009
충북 충주,2017,90~94세,728,210,518,210,518,0,0,0,0
충북 충주,2017,95~99세,176,32,144,32,144,0,0,0,0
충북 충주,2017,100세이상,17,0,14,0,14,0,0,0,0
충북 충주,2017,15세미만,24641,12624,12017,12589,11983,69,35,34,0.0028
충북 충주,2017,15~64세,151748,80498,71250,76714,69042,5992,3784,2208,0.0395
충북 충주,2017,65세이상,35885,14970,20915,14915,20835,135,55,80,0.0038
충북 충주,2017,평균연령,43.1,41.6,44.8,41.8,45,-0.4,-0.2,-0.2,-0.0093
충북 충주,2017,중위연령,44.7,43,46.6,43.6,47,-1,-0.6,-0.4,-0.0224
충북 제천,2017,합계,136929,68951,67978,67999,67088,1842,952,890,0.0135
충북 제천,2017,0~4세,4560,2351,2209,2346,2201,13,5,8,0.0029
충북 제천,2017,5~9세,5342,2707,2635,2705,2629,8,2,6,0.0015
충북 제천,2017,10~14세,5588,2866,2722,2861,2718,9,5,4,0.0016
충북 제천,2017,15~19세,8848,4692,4156,4644,4108,96,48,48,0.0108
충북 제천,2017,20~24세,11018,6128,4890,5967,4763,288,161,127,0.0261
충북 제천,2017,25~29세,6783,3796,2987,3638,2852,293,158,135,0.0432
충북 제천,2017,30~34세,6493,3460,3033,3305,2906,282,155,127,0.0434
충북 제천,2017,35~39세,8012,4116,3896,4017,3801,194,99,95,0.0242
충북 제천,2017,40~44세,8929,4529,4400,4462,4337,130,67,63,0.0146
충북 제천,2017,45~49세,11314,5871,5443,5804,5379,131,67,64,0.0116
충북 제천,2017,50~54세,10937,5597,5340,5528,5267,142,69,73,0.013
충북 제천,2017,55~59세,13228,6617,6611,6564,6549,115,53,62,0.0087
충북 제천,2017,60~64세,10802,5447,5355,5412,5319,71,35,36,0.0066
충북 제천,2017,65~69세,7480,3691,3789,3675,3770,35,16,19,0.0047
충북 제천,2017,70~74세,6115,2816,3299,2810,3290,15,6,9,0.0025
충북 제천,2017,75~79세,5823,2416,3407,2415,3401,7,1,6,0.0012
충북 제천,2017,80~84세,3539,1302,2237,1300,2232,7,2,5,0.002
충북 제천,2017,85세이상,2118,549,1569,546,1566,6,3,3,0.0028
충북 제천,2017,85~89세,1504,422,1082,420,1079,5,2,3,0.0033
충북 제천,2017,90~94세,483,96,387,95,387,1,1,0,0.0021
충북 제천,2017,95~99세,115,30,85,30,85,0,0,0,0
충북 제천,2017,100세이상,16,0,15,0,15,0,0,0,0
충북 제천,2017,15세미만,15490,7924,7566,7912,7548,30,12,18,0.0019
충북 제천,2017,15~64세,96364,50253,46111,49341,45281,1742,912,830,0.0181
충북 제천,2017,65세이상,25075,10774,14301,10746,14259,70,28,42,0.0028
충북 제천,2017,평균연령,44,42.6,45.5,42.7,45.6,-0.2,-0.1,-0.1,-0.0045
충북 제천,2017,중위연령,46.4,44.8,48,45.1,48.2,-0.5,-0.3,-0.2,-0.0108
충북 청주,2017,합계,842311,423088,419223,414090,411860,16361,8998,7363,0.0194
충북 청주,2017,0~4세,39241,20020,19221,19868,19057,316,152,164,0.0081
충북 청주,2017,5~9세,42499,21829,20670,21728,20565,206,101,105,0.0048
충북 청주,2017,10~14세,41392,21459,19933,21391,19861,140,68,72,0.0034
충북 청주,2017,15~19세,53950,28196,25754,27997,25584,369,199,170,0.0068
충북 청주,2017,20~24세,65852,34811,31041,33626,29990,2236,1185,1051,0.034
충북 청주,2017,25~29세,58130,31698,26432,30047,25272,2811,1651,1160,0.0484
충북 청주,2017,30~34세,59011,30749,28262,29300,27214,2497,1449,1048,0.0423
충북 청주,2017,35~39세,67771,34811,32960,33722,32255,1794,1089,705,0.0265
충북 청주,2017,40~44세,67756,34001,33755,33250,33176,1330,751,579,0.0196
충북 청주,2017,45~49세,73843,36794,37049,36023,36411,1409,771,638,0.0191
충북 청주,2017,50~54세,65114,32842,32272,32275,31678,1161,567,594,0.0178
충북 청주,2017,55~59세,65272,32703,32569,32256,32086,930,447,483,0.0142
충북 청주,2017,60~64세,47089,23264,23825,22925,23507,657,339,318,0.014
충북 청주,2017,65~69세,30173,14656,15517,14509,15362,302,147,155,0.01
충북 청주,2017,70~74세,22802,10306,12496,10255,12446,101,51,50,0.0044
충북 청주,2017,75~79세,20432,8288,12144,8277,12105,50,11,39,0.0024
충북 청주,2017,80~84세,13567,4670,8897,4657,8874,36,13,23,0.0027
충북 청주,2017,85세이상,8417,1991,6426,1984,6417,16,7,9,0.0019
충북 청주,2017,85~89세,5936,1493,4443,1488,4434,14,5,9,0.0024
충북 청주,2017,90~94세,1949,409,1540,407,1540,2,2,0,0.001
충북 청주,2017,95~99세,481,81,400,81,400,0,0,0,0
충북 청주,2017,100세이상,51,8,43,8,43,0,0,0,0
충북 청주,2017,15세미만,123132,63308,59824,62987,59483,662,321,341,0.0054
충북 청주,2017,15~64세,623788,319869,303919,311421,297173,15194,8448,6746,0.0244
충북 청주,2017,65세이상,95391,39911,55480,39682,55204,505,229,276,0.0053
충북 청주,2017,평균연령,39.2,38.1,40.4,38.1,40.4,0,0,0,0
충북 청주,2017,중위연령,39.5,38.2,40.8,38.3,41,-0.3,-0.1,-0.2,-0.0076
충청남도,2017,합계,2162426,1108610,1053816,1056508,1021166,84752,52102,32650,0.0392
충청남도,2017,0~4세,92367,47150,45217,46524,44602,1241,626,615,0.0134
충청남도,2017,5~9세,101812,52615,49197,52257,48903,652,358,294,0.0064
충청남도,2017,10~14세,97084,50269,46815,50064,46647,373,205,168,0.0038
충청남도,2017,15~19세,128419,67255,61164,66462,60178,1779,793,986,0.0139
충청남도,2017,20~24세,148933,79921,69012,73928,64421,10584,5993,4591,0.0711
충청남도,2017,25~29세,132844,75318,57526,65259,52463,15122,10059,5063,0.1138
충청남도,2017,30~34세,142897,79028,63869,69351,59170,14376,9677,4699,0.1006
충청남도,2017,35~39세,167736,91369,76367,83998,73074,10664,7371,3293,0.0636
충청남도,2017,40~44세,162681,86985,75696,82049,73066,7566,4936,2630,0.0465
충청남도,2017,45~49세,175351,93668,81683,89319,78695,7337,4349,2988,0.0418
충청남도,2017,50~54세,158122,83518,74604,80296,71779,6047,3222,2825,0.0382
충청남도,2017,55~59세,169336,86830,82506,84822,80559,3955,2008,1947,0.0234
충청남도,2017,60~64세,130826,65553,65273,63982,63864,2980,1571,1409,0.0228
충청남도,2017,65~69세,101470,49478,51992,48874,51432,1164,604,560,0.0115
충청남도,2017,70~74세,78118,35993,42125,35802,41861,455,191,264,0.0058
충청남도,2017,75~79세,80124,32499,47625,32419,47455,250,80,170,0.0031
충청남도,2017,80~84세,57553,21011,36542,20970,36442,141,41,100,0.0024
충청남도,2017,85세이상,36753,10150,26603,10132,26555,66,18,48,0.0018
충청남도,2017,85~89세,26401,7797,18604,7782,18563,56,15,41,0.0021
충청남도,2017,90~94세,8213,1961,6252,1959,6246,8,2,6,0.001
충청남도,2017,95~99세,1917,366,1551,365,1550,2,1,1,0.001
충청남도,2017,100세이상,222,26,196,26,196,0,0,0,0
충청남도,2017,15세미만,291263,150034,141229,148845,140152,2266,1189,1077,0.0078
충청남도,2017,15~64세,1517145,809445,707700,759466,677269,80410,49979,30431,0.053
충청남도,2017,65세이상,354018,149131,204887,148197,203745,2076,934,1142,0.0059
충청남도,2017,평균연령,41.9,40.5,43.3,40.7,43.5,-0.4,-0.2,-0.2,-0.0095
충청남도,2017,중위연령,42.2,40.7,43.9,41.3,44.2,-0.9,-0.6,-0.3,-0.0213
충남 천안,2017,합계,656294,336476,319818,321063,309684,25547,15413,10134,0.0389
충남 천안,2017,0~4세,32079,16371,15708,16132,15482,465,239,226,0.0145
충남 천안,2017,5~9세,33997,17537,16460,17418,16354,225,119,106,0.0066
충남 천안,2017,10~14세,32246,16753,15493,16692,15434,120,61,59,0.0037
충남 천안,2017,15~19세,43070,22237,20833,21927,20435,708,310,398,0.0164
충남 천안,2017,20~24세,54718,27945,26773,26329,25560,2829,1616,1213,0.0517
충남 천안,2017,25~29세,49596,26860,22736,24062,21279,4255,2798,1457,0.0858
충남 천안,2017,30~34세,53164,28753,24411,26036,23018,4110,2717,1393,0.0773
충남 천안,2017,35~39세,58898,31693,27205,29643,26232,3023,2050,973,0.0513
충남 천안,2017,40~44세,54847,28330,26517,26859,25686,2302,1471,831,0.042
충남 천안,2017,45~49세,58046,29720,28326,28350,27337,2359,1370,989,0.0406
충남 천안,2017,50~54세,49323,25469,23854,24365,22930,2028,1104,924,0.0411
충남 천안,2017,55~59세,45908,23959,21949,23287,21290,1331,672,659,0.029
충남 천안,2017,60~64세,29904,15242,14662,14668,14136,1100,574,526,0.0368
충남 천안,2017,65~69세,19691,9670,10021,9451,9830,410,219,191,0.0208
충남 천안,2017,70~74세,14042,6372,7670,6325,7579,138,47,91,0.0098
충남 천안,2017,75~79세,12709,5110,7599,5079,7546,84,31,53,0.0066
충남 천안,2017,80~84세,8425,2947,5478,2935,5447,43,12,31,0.0051
충남 천안,2017,85세이상,5631,1508,4123,1505,4109,17,3,14,0.003
충남 천안,2017,85~89세,3965,1126,2839,1123,2825,17,3,14,0.0043
충남 천안,2017,90~94세,1320,309,1011,309,1011,0,0,0,0
충남 천안,2017,95~99세,312,70,242,70,242,0,0,0,0
충남 천안,2017,100세이상,34,0,31,0,31,0,0,0,0
충남 천안,2017,15세미만,98322,50661,47661,50242,47270,810,419,391,0.0082
충남 천안,2017,15~64세,497474,260208,237266,245526,227903,24045,14682,9363,0.0483
충남 천안,2017,65세이상,60498,25607,34891,25295,34511,692,312,380,0.0114
충남 천안,2017,평균연령,37.7,36.9,38.5,36.9,38.5,0,0,0,0
충남 천안,2017,중위연령,37.4,36.8,38.1,36.9,38.2,-0.2,-0.1,-0.1,-0.0053
충남 공주,2017,합계,111017,55006,56011,53831,54817,2369,1175,1194,0.0213
충남 공주,2017,0~4세,2981,1554,1427,1548,1420,13,6,7,0.0044
충남 공주,2017,5~9세,3687,1889,1798,1883,1795,9,6,3,0.0024
충남 공주,2017,10~14세,4001,2059,1942,2059,1942,0,0,0,0
충남 공주,2017,15~19세,7467,3921,3546,3889,3475,103,32,71,0.0138
충남 공주,2017,20~24세,9574,4591,4983,4389,4746,439,202,237,0.0459
충남 공주,2017,25~29세,5880,3368,2512,3091,2271,518,277,241,0.0881
충남 공주,2017,30~34세,5092,2784,2308,2612,2145,335,172,163,0.0658
충남 공주,2017,35~39세,5899,3088,2811,2967,2705,227,121,106,0.0385
충남 공주,2017,40~44세,6523,3420,3103,3335,3052,136,85,51,0.0208
충남 공주,2017,45~49세,8092,4194,3898,4109,3813,170,85,85,0.021
충남 공주,2017,50~54세,8436,4330,4106,4246,4016,174,84,90,0.0206
충남 공주,2017,55~59세,10358,5219,5139,5182,5080,96,37,59,0.0093
충남 공주,2017,60~64세,8585,4276,4309,4233,4271,81,43,38,0.0094
충남 공주,2017,65~69세,6733,3374,3359,3358,3337,38,16,22,0.0056
충남 공주,2017,70~74세,5062,2306,2756,2301,2744,17,5,12,0.0034
충남 공주,2017,75~79세,5724,2312,3412,2312,3407,5,0,5,0.0009
충남 공주,2017,80~84세,4172,1545,2627,1541,2625,6,4,2,0.0014
충남 공주,2017,85세이상,2751,776,1975,776,1973,2,0,2,0.0007
충남 공주,2017,85~89세,2014,612,1402,612,1401,1,0,1,0.0005
충남 공주,2017,90~94세,562,132,430,132,429,1,0,1,0.0018
충남 공주,2017,95~99세,160,30,130,30,130,0,0,0,0
충남 공주,2017,100세이상,15,0,13,0,13,0,0,0,0
충남 공주,2017,15세미만,10669,5502,5167,5490,5157,22,12,10,0.0021
충남 공주,2017,15~64세,75906,39191,36715,38053,35574,2279,1138,1141,0.03
충남 공주,2017,65세이상,24442,10313,14129,10288,14086,68,25,43,0.0028
충남 공주,2017,평균연령,45.7,44.1,47.2,44.2,47.5,-0.4,-0.1,-0.3,-0.0088
충남 공주,2017,중위연령,47.9,46.2,49.6,46.6,50.1,-0.9,-0.4,-0.5,-0.0188
충남 보령,2017,합계,100922,52077,48845,49563,48051,3308,2514,794,0.0328
충남 보령,2017,0~4세,3288,1671,1617,1664,1611,13,7,6,0.004
충남 보령,2017,5~9세,4007,2032,1975,2028,1971,8,4,4,0.002
충남 보령,2017,10~14세,4098,2133,1965,2130,1964,4,3,1,0.001
충남 보령,2017,15~19세,4857,2762,2095,2749,2085,23,13,10,0.0047
충남 보령,2017,20~24세,5157,3317,1840,3026,1774,357,291,66,0.0692
충남 보령,2017,25~29세,4877,2976,1901,2355,1768,754,621,133,0.1546
충남 보령,2017,30~34세,5233,3033,2200,2495,2063,675,538,137,0.129
충남 보령,2017,35~39세,6489,3653,2836,3227,2744,518,426,92,0.0798
충남 보령,2017,40~44세,7135,3974,3161,3693,3086,356,281,75,0.0499
충남 보령,2017,45~49세,7885,4246,3639,4090,3545,250,156,94,0.0317
충남 보령,2017,50~54세,7677,4061,3616,3978,3547,152,83,69,0.0198
충남 보령,2017,55~59세,9414,4685,4729,4645,4680,89,40,49,0.0095
충남 보령,2017,60~64세,8057,3991,4066,3962,4036,59,29,30,0.0073
충남 보령,2017,65~69세,6706,3197,3509,3184,3493,29,13,16,0.0043
충남 보령,2017,70~74세,5202,2375,2827,2369,2820,13,6,7,0.0025
충남 보령,2017,75~79세,5124,2089,3035,2087,3033,4,2,2,0.0008
충남 보령,2017,80~84세,3465,1296,2169,1295,2167,3,1,2,0.0009
충남 보령,2017,85세이상,2251,586,1665,586,1664,1,0,1,0.0004
충남 보령,2017,85~89세,1630,455,1175,455,1174,1,0,1,0.0006
충남 보령,2017,90~94세,496,111,385,111,385,0,0,0,0
충남 보령,2017,95~99세,112,18,94,18,94,0,0,0,0
충남 보령,2017,100세이상,13,0,11,0,11,0,0,0,0
충남 보령,2017,15세미만,11393,5836,5557,5822,5546,25,14,11,0.0022
충남 보령,2017,15~64세,66781,36698,30083,34220,29328,3233,2478,755,0.0484
충남 보령,2017,65세이상,22748,9543,13205,9521,13177,50,22,28,0.0022
충남 보령,2017,평균연령,46.3,44.1,48.7,44.6,48.9,-0.7,-0.5,-0.2,-0.0151
충남 보령,2017,중위연령,48.5,45.6,51.8,46.8,52.2,-1.6,-1.2,-0.4,-0.033
충남 아산,2017,합계,338473,177501,160972,163312,152536,22625,14189,8436,0.0668
충남 아산,2017,0~4세,18956,9723,9233,9491,8985,480,232,248,0.0253
충남 아산,2017,5~9세,19855,10206,9649,10058,9522,275,148,127,0.0139
충남 아산,2017,10~14세,16533,8546,7987,8459,7927,147,87,60,0.0089
충남 아산,2017,15~19세,21278,10954,10324,10780,10050,448,174,274,0.0211
충남 아산,2017,20~24세,24947,13329,11618,11803,10476,2668,1526,1142,0.1069
충남 아산,2017,25~29세,23870,13476,10394,10856,9287,3727,2620,1107,0.1561
충남 아산,2017,30~34세,28202,15619,12583,12833,11388,3981,2786,1195,0.1412
충남 아산,2017,35~39세,33947,18992,14955,16898,14064,2985,2094,891,0.0879
충남 아산,2017,40~44세,28547,15685,12862,14330,12132,2085,1355,730,0.073
충남 아산,2017,45~49세,27657,15288,12369,14017,11547,2093,1271,822,0.0757
충남 아산,2017,50~54세,22181,12035,10146,11196,9395,1590,839,751,0.0717
충남 아산,2017,55~59세,21043,11019,10024,10523,9542,978,496,482,0.0465
충남 아산,2017,60~64세,15110,7507,7603,7150,7284,676,357,319,0.0447
충남 아산,2017,65~69세,10887,5138,5749,5013,5594,280,125,155,0.0257
충남 아산,2017,70~74세,8423,3772,4651,3723,4597,103,49,54,0.0122
충남 아산,2017,75~79세,7991,3267,4724,3253,4683,55,14,41,0.0069
충남 아산,2017,80~84세,5628,2015,3613,2003,3584,41,12,29,0.0073
충남 아산,2017,85세이상,3418,930,2488,926,2479,13,4,9,0.0038
충남 아산,2017,85~89세,2488,720,1768,716,1761,11,4,7,0.0044
충남 아산,2017,90~94세,721,169,552,169,551,1,0,1,0.0014
충남 아산,2017,95~99세,191,41,150,41,149,1,0,1,0.0052
충남 아산,2017,100세이상,18,0,18,0,18,0,0,0,0
충남 아산,2017,15세미만,55344,28475,26869,28008,26434,902,467,435,0.0163
충남 아산,2017,15~64세,246782,133904,112878,120386,105165,21231,13518,7713,0.086
충남 아산,2017,65세이상,36347,15122,21225,14918,20937,492,204,288,0.0135
충남 아산,2017,평균연령,37.7,36.8,38.6,36.9,38.7,-0.2,-0.1,-0.1,-0.0053
충남 아산,2017,중위연령,37.2,36.7,37.8,37.1,37.9,-0.5,-0.4,-0.1,-0.0134
충남 서산,2017,합계,171364,88802,82562,85747,80217,5400,3055,2345,0.0315
충남 서산,2017,0~4세,8053,4119,3934,4074,3881,98,45,53,0.0122
충남 서산,2017,5~9세,8654,4565,4089,4545,4077,32,20,12,0.0037
충남 서산,2017,10~14세,8331,4372,3959,4354,3948,29,18,11,0.0035
충남 서산,2017,15~19세,9362,4963,4399,4877,4314,171,86,85,0.0183
충남 서산,2017,20~24세,9113,5183,3930,4827,3529,757,356,401,0.0831
충남 서산,2017,25~29세,9876,5849,4027,5418,3729,729,431,298,0.0738
충남 서산,2017,30~34세,10886,6084,4802,5620,4473,793,464,329,0.0728
충남 서산,2017,35~39세,13577,7300,6277,6852,6046,679,448,231,0.05
충남 서산,2017,40~44세,13638,7263,6375,6949,6198,491,314,177,0.036
충남 서산,2017,45~49세,14641,7871,6770,7582,6571,488,289,199,0.0333
충남 서산,2017,50~54세,13085,7065,6020,6831,5820,434,234,200,0.0332
충남 서산,2017,55~59세,13698,7072,6626,6930,6481,287,142,145,0.021
충남 서산,2017,60~64세,9970,4959,5011,4838,4904,228,121,107,0.0229
충남 서산,2017,65~69세,8332,4161,4171,4108,4124,100,53,47,0.012
충남 서산,2017,70~74세,6218,2955,3263,2931,3237,50,24,26,0.008
충남 서산,2017,75~79세,6323,2620,3703,2615,3689,19,5,14,0.003
충남 서산,2017,80~84세,4579,1630,2949,1627,2942,10,3,7,0.0022
충남 서산,2017,85세이상,3028,771,2257,769,2254,5,2,3,0.0017
충남 서산,2017,85~89세,2124,591,1533,591,1530,3,0,3,0.0014
충남 서산,2017,90~94세,713,150,563,148,563,2,2,0,0.0028
충남 서산,2017,95~99세,162,27,135,27,135,0,0,0,0
충남 서산,2017,100세이상,29,0,26,0,26,0,0,0,0
충남 서산,2017,15세미만,25038,13056,11982,12973,11906,159,83,76,0.0064
충남 서산,2017,15~64세,117846,63609,54237,60724,52065,5057,2885,2172,0.0429
충남 서산,2017,65세이상,28480,12137,16343,12050,16246,184,87,97,0.0065
충남 서산,2017,평균연령,42.1,40.6,43.7,40.7,43.9,-0.3,-0.1,-0.2,-0.0071
충남 서산,2017,중위연령,43,41.4,44.6,41.8,44.9,-0.7,-0.4,-0.3,-0.0163
충남 논산,2017,합계,123774,62102,61672,59528,59334,4912,2574,2338,0.0397
충남 논산,2017,0~4세,3833,1941,1892,1931,1881,21,10,11,0.0055
충남 논산,2017,5~9세,4576,2347,2229,2338,2221,17,9,8,0.0037
충남 논산,2017,10~14세,4889,2499,2390,2492,2382,15,7,8,0.0031
충남 논산,2017,15~19세,7804,4292,3512,4246,3466,92,46,46,0.0118
충남 논산,2017,20~24세,8392,4510,3882,4026,3305,1061,484,577,0.1264
충남 논산,2017,25~29세,6593,3715,2878,3131,2327,1135,584,551,0.1722
충남 논산,2017,30~34세,6146,3310,2836,2856,2477,813,454,359,0.1323
충남 논산,2017,35~39세,7004,3705,3299,3371,3059,574,334,240,0.082
충남 논산,2017,40~44세,7789,4192,3597,4002,3471,316,190,126,0.0406
충남 논산,2017,45~49세,9043,4828,4215,4678,4100,265,150,115,0.0293
충남 논산,2017,50~54세,9116,4774,4342,4661,4230,225,113,112,0.0247
충남 논산,2017,55~59세,11055,5584,5471,5490,5391,174,94,80,0.0157
충남 논산,2017,60~64세,9544,4845,4699,4783,4634,127,62,65,0.0133
충남 논산,2017,65~69세,7389,3559,3830,3537,3813,39,22,17,0.0053
충남 논산,2017,70~74세,5936,2700,3236,2696,3228,12,4,8,0.002
충남 논산,2017,75~79세,6551,2597,3954,2591,3947,13,6,7,0.002
충남 논산,2017,80~84세,4925,1781,3144,1778,3141,6,3,3,0.0012
충남 논산,2017,85세이상,3189,923,2266,921,2261,7,2,5,0.0022
충남 논산,2017,85~89세,2275,684,1591,682,1588,5,2,3,0.0022
충남 논산,2017,90~94세,723,194,529,194,527,2,0,2,0.0028
충남 논산,2017,95~99세,172,43,129,43,129,0,0,0,0
충남 논산,2017,100세이상,19,0,17,0,17,0,0,0,0
충남 논산,2017,15세미만,13298,6787,6511,6761,6484,53,26,27,0.004
충남 논산,2017,15~64세,82486,43755,38731,41244,36460,4782,2511,2271,0.058
충남 논산,2017,65세이상,27990,11560,16430,11523,16390,77,37,40,0.0028
충남 논산,2017,평균연령,45.8,43.9,47.8,44.3,48.3,-0.9,-0.4,-0.5,-0.0197
충남 논산,2017,중위연령,47.8,45.6,50.1,46.5,51.2,-2,-0.9,-1.1,-0.0418
충남 계룡,2017,합계,41858,20761,21097,20649,20978,231,112,119,0.0055
충남 계룡,2017,0~4세,2016,1003,1013,1003,1013,0,0,0,0
충남 계룡,2017,5~9세,2698,1411,1287,1411,1286,1,0,1,0.0004
충남 계룡,2017,10~14세,3178,1622,1556,1622,1556,0,0,0,0
충남 계룡,2017,15~19세,2997,1518,1479,1517,1476,4,1,3,0.0013
충남 계룡,2017,20~24세,2199,1292,907,1283,894,22,9,13,0.01
충남 계룡,2017,25~29세,1814,996,818,972,795,47,24,23,0.0259
충남 계룡,2017,30~34세,2031,984,1047,976,1035,20,8,12,0.0098
충남 계룡,2017,35~39세,3381,1595,1786,1584,1773,24,11,13,0.0071
충남 계룡,2017,40~44세,4130,1941,2189,1926,2181,23,15,8,0.0056
충남 계룡,2017,45~49세,4890,2450,2440,2442,2431,17,8,9,0.0035
충남 계룡,2017,50~54세,3343,1731,1612,1720,1591,32,11,21,0.0096
충남 계룡,2017,55~59세,2947,1450,1497,1442,1492,13,8,5,0.0044
충남 계룡,2017,60~64세,2162,1096,1066,1090,1061,11,6,5,0.0051
충남 계룡,2017,65~69세,1303,636,667,627,663,13,9,4,0.01
충남 계룡,2017,70~74세,926,460,466,460,464,2,0,2,0.0022
충남 계룡,2017,75~79세,792,288,504,288,504,0,0,0,0
충남 계룡,2017,80~84세,617,184,433,184,433,0,0,0,0
충남 계룡,2017,85세이상,434,104,330,102,330,2,2,0,0.0046
충남 계룡,2017,85~89세,296,72,224,70,224,2,2,0,0.0068
충남 계룡,2017,90~94세,114,27,87,27,87,0,0,0,0
충남 계룡,2017,95~99세,22,5,17,5,17,0,0,0,0
충남 계룡,2017,100세이상,0,0,0,0,0,0,0,0,0
충남 계룡,2017,15세미만,7892,4036,3856,4036,3855,1,0,1,0.0001
충남 계룡,2017,15~64세,29894,15053,14841,14952,14729,213,101,112,0.0071
충남 계룡,2017,65세이상,4072,1672,2400,1661,2394,17,11,6,0.0042
충남 계룡,2017,평균연령,38.3,37.2,39.4,37.2,39.4,0,0,0,0
충남 계룡,2017,중위연령,40.8,39.9,41.7,39.9,41.7,0,0,0,0
충남 당진,2017,합계,168508,89656,78852,84884,76494,7130,4772,2358,0.0423
충남 당진,2017,0~4세,8873,4496,4377,4454,4335,84,42,42,0.0095
충남 당진,2017,5~9세,8978,4650,4328,4626,4315,37,24,13,0.0041
충남 당진,2017,10~14세,7502,3960,3542,3947,3531,24,13,11,0.0032
충남 당진,2017,15~19세,8559,4557,4002,4526,3974,59,31,28,0.0069
충남 당진,2017,20~24세,8759,5013,3746,4593,3575,591,420,171,0.0675
충남 당진,2017,25~29세,10030,6152,3878,5300,3559,1171,852,319,0.1167
충남 당진,2017,30~34세,12473,7309,5164,6351,4795,1327,958,369,0.1064
충남 당진,2017,35~39세,14678,8210,6468,7518,6216,944,692,252,0.0643
충남 당진,2017,40~44세,13298,7449,5849,6981,5602,715,468,247,0.0538
충남 당진,2017,45~49세,13228,7528,5700,7116,5451,661,412,249,0.05
충남 당진,2017,50~54세,12080,6749,5331,6391,5084,605,358,247,0.0501
충남 당진,2017,55~59세,12658,6678,5980,6458,5805,395,220,175,0.0312
충남 당진,2017,60~64세,9858,4986,4872,4809,4743,306,177,129,0.031
충남 당진,2017,65~69세,7900,3908,3992,3847,3945,108,61,47,0.0137
충남 당진,2017,70~74세,5918,2883,3035,2858,3012,48,25,23,0.0081
충남 당진,2017,75~79세,6336,2655,3681,2643,3661,32,12,20,0.0051
충남 당진,2017,80~84세,4593,1699,2894,1695,2882,16,4,12,0.0035
충남 당진,2017,85세이상,2787,774,2013,771,2009,7,3,4,0.0025
충남 당진,2017,85~89세,1976,577,1399,574,1395,7,3,4,0.0035
충남 당진,2017,90~94세,616,165,451,165,451,0,0,0,0
충남 당진,2017,95~99세,179,30,149,30,149,0,0,0,0
충남 당진,2017,100세이상,16,0,14,0,14,0,0,0,0
충남 당진,2017,15세미만,25353,13106,12247,13027,12181,145,79,66,0.0057
충남 당진,2017,15~64세,115621,64631,50990,60043,48804,6774,4588,2186,0.0586
충남 당진,2017,65세이상,27534,11919,15615,11814,15509,211,105,106,0.0077
충남 당진,2017,평균연령,41.6,40.3,43.1,40.4,43.2,-0.2,-0.1,-0.1,-0.0048
충남 당진,2017,중위연령,41.7,40.3,43.4,40.8,43.6,-0.7,-0.5,-0.2,-0.0168
전라북도,2017,합계,1826174,911592,914582,893346,899064,33764,18246,15518,0.0185
전라북도,2017,0~4세,68290,35118,33172,34967,33056,267,151,116,0.0039
전라북도,2017,5~9세,80210,41274,38936,41192,38851,167,82,85,0.0021
전라북도,2017,10~14세,82865,42971,39894,42923,39842,100,48,52,0.0012
전라북도,2017,15~19세,114829,60874,53955,60244,53343,1242,630,612,0.0108
전라북도,2017,20~24세,128067,70721,57346,67646,54375,6046,3075,2971,0.0472
전라북도,2017,25~29세,99015,53533,45482,49674,42656,6685,3859,2826,0.0675
전라북도,2017,30~34세,97034,50645,46389,47482,44266,5286,3163,2123,0.0545
전라북도,2017,35~39세,120108,62003,58105,59943,56682,3483,2060,1423,0.029
전라북도,2017,40~44세,131711,67634,64077,66308,63018,2385,1326,1059,0.0181
전라북도,2017,45~49세,150192,77962,72230,76754,71026,2412,1208,1204,0.0161
전라북도,2017,50~54세,140178,72239,67939,71221,66759,2198,1018,1180,0.0157
전라북도,2017,55~59세,150771,75531,75240,74847,74382,1542,684,858,0.0102
전라북도,2017,60~64세,120983,60096,60887,59575,60331,1077,521,556,0.0089
전라북도,2017,65~69세,97786,46997,50789,46757,50562,467,240,227,0.0048
전라북도,2017,70~74세,78718,35658,43060,35554,42949,215,104,111,0.0027
전라북도,2017,75~79세,78204,31139,47065,31105,46999,100,34,66,0.0013
전라북도,2017,80~84세,52557,18276,34281,18246,34245,66,30,36,0.0013
전라북도,2017,85세이상,34656,8921,25735,8908,25722,26,13,13,0.0008
전라북도,2017,85~89세,24932,6794,18138,6784,18127,21,10,11,0.0008
전라북도,2017,90~94세,7685,1775,5910,1772,5909,4,3,1,0.0005
전라북도,2017,95~99세,1828,325,1503,325,1503,0,0,0,0
전라북도,2017,100세이상,211,27,184,27,183,1,0,1,0.0047
전라북도,2017,15세미만,231365,119363,112002,119082,111749,534,281,253,0.0023
전라북도,2017,15~64세,1252888,651238,601650,633694,586838,32356,17544,14812,0.0258
전라북도,2017,65세이상,341921,140991,200930,140570,200477,874,421,453,0.0026
전라북도,2017,평균연령,43.3,41.6,45,41.8,45.2,-0.4,-0.2,-0.2,-0.0092
전라북도,2017,중위연령,44.7,43.1,46.4,43.4,46.7,-0.6,-0.3,-0.3,-0.0134
