행정구역별,연도별,연령별,총인구,총인구_남자,총인구_여자,내국인_남자,내국인_여자,총인구_외국인,외국인_남자,외국인_여자,외국인비율
경기 부천,2017,65세이상,92671,39875,52796,39124,51709,1838,751,1087,0.0198
경기 부천,2017,평균연령,40.7,39.8,41.7,39.7,41.6,0.2,0.1,0.1,0.0049
경기 부천,2017,중위연령,41.6,40.5,42.8,40.5,42.8,0,0,0,0
경기 광명,2017,합계,328253,162480,165773,158421,161491,8341,4059,4282,0.0254
경기 광명,2017,0~4세,14256,7344,6912,7212,6790,254,132,122,0.0178
경기 광명,2017,5~9세,16393,8428,7965,8369,7913,111,59,52,0.0068
경기 광명,2017,10~14세,16326,8429,7897,8417,7877,32,12,20,0.002
경기 광명,2017,15~19세,18593,9592,9001,9563,8974,56,29,27,0.003
경기 광명,2017,20~24세,19700,10616,9084,10470,8922,308,146,162,0.0156
경기 광명,2017,25~29세,20748,10658,10090,10264,9655,829,394,435,0.04
경기 광명,2017,30~34세,22782,11466,11316,10931,10831,1020,535,485,0.0448
경기 광명,2017,35~39세,28403,14136,14267,13744,13911,748,392,356,0.0263
경기 광명,2017,40~44세,28702,14357,14345,14050,14065,587,307,280,0.0205
경기 광명,2017,45~49세,30657,15254,15403,14824,14929,904,430,474,0.0295
경기 광명,2017,50~54세,26391,13167,13224,12656,12664,1071,511,560,0.0406
경기 광명,2017,55~59세,27069,13110,13959,12704,13490,875,406,469,0.0323
경기 광명,2017,60~64세,20761,9981,10780,9552,10316,893,429,464,0.043
경기 광명,2017,65~69세,13335,6460,6875,6255,6657,423,205,218,0.0317
경기 광명,2017,70~74세,9401,4228,5173,4183,5104,114,45,69,0.0121
경기 광명,2017,75~79세,7553,3073,4480,3057,4433,63,16,47,0.0083
경기 광명,2017,80~84세,4412,1445,2967,1437,2935,40,8,32,0.0091
경기 광명,2017,85세이상,2771,736,2035,733,2025,13,3,10,0.0047
경기 광명,2017,85~89세,2042,571,1471,568,1465,9,3,6,0.0044
경기 광명,2017,90~94세,582,138,444,138,442,2,0,2,0.0034
경기 광명,2017,95~99세,129,25,104,25,102,2,0,2,0.0155
경기 광명,2017,100세이상,18,0,16,0,16,0,0,0,0
경기 광명,2017,15세미만,46975,24201,22774,23998,22580,397,203,194,0.0085
경기 광명,2017,15~64세,243806,122337,121469,118758,117757,7291,3579,3712,0.0299
경기 광명,2017,65세이상,37472,15942,21530,15665,21154,653,277,376,0.0174
