crimeRate,city_idx,total,out_per,total_m,total_w,out_m,out_w,suicide_rate,tax,death,injured,cctv,city_id,city_name,district_name,age,total
0.005247868,56,658172,0.0101,325652,332520,3122,3511,19,267670330,61,91,4439,56,전북,전주,합계,658172
0.007003325,57,275155,0.0234,141399,133756,4204,2228,20.8,136219537,35,41,2387,57,전북,군산,합계,275155
0.006204366,58,301723,0.0158,151707,150016,2547,2208,25.2,105234887,34,58,2036,58,전북,익산,합계,301723
0.005568261,59,110627,0.0239,54898,55729,1608,1031,31.6,31063780,24,31,1675,59,전북,정읍,합계,110627
0.005888272,60,80499,0.0132,39380,41119,457,603,14.4,22070379,20,29,1414,60,전북,남원,합계,80499
0.005957114,61,84269,0.0253,41856,42413,1410,723,25.3,32656101,29,40,518,61,전북,김제,합계,84269
0.011097009,62,239524,0.0133,120500,119024,1789,1407,34.5,66401476,21,29,29,62,전남,목포,합계,239524
0.007170488,63,273761,0.0161,139565,134196,2967,1442,20.7,159709610,49,71,1528,63,전남,여수,합계,273761
0.006752327,64,265390,0.0076,132329,133061,879,1128,24.1,111814990,41,49,1210,64,전남,순천,합계,265390
0.000680478,65,92582,0.0269,46188,46394,1420,1075,21.1,109580259,30,44,20,65,전남,나주,합계,92582
0.005671195,66,144414,0.0118,74195,70219,880,823,22.2,109762604,25,35,569,66,전남,광양,합계,144414
0.005908512,67,511804,0.0114,259502,252302,3549,2310,23,333389605,52,81,4315,67,경북,포항,합계,511804
0.005512561,68,262310,0.0424,133092,129218,7622,3496,27.2,198003847,68,105,1926,68,경북,경주,합계,262310
0.005860113,69,137540,0.0158,68528,69012,1269,898,22.8,89649870,29,37,522,69,경북,김천,합계,137540
0.006572508,70,168581,0.0089,83170,85411,682,818,24.3,64763412,37,48,2241,70,경북,안동,합계,168581
0.005604702,71,421075,0.0165,216825,204250,4133,2832,26.3,413493919,47,73,2611,71,경북,구미,합계,421075
0.005253235,72,109266,0.0086,54737,54529,416,523,20.3,35805685,15,36,1632,72,경북,영주,합계,109266
0.005016945,73,97669,0.0354,49573,48096,2572,883,26.7,59706391,36,56,6,73,경북,영천,합계,97669
0.004171729,74,98760,0.0104,48392,50368,482,541,34.4,29247990,24,54,988,74,경북,상주,합계,98760
0.005342908,76,278500,0.0304,140493,138007,5332,3140,20.7,148604172,32,45,1250,76,경북,경산,합계,278500
0.00582692,77,1086852,0.0154,554938,531914,11291,5497,20.3,758781088,73,94,1149,77,경남,창원,합계,1086852
0.007400658,78,143771,0.032,73972,69799,3612,991,30,54549961,15,24,1153,78,경남,통영,합계,143771
0.006098062,79,547387,0.0338,281627,265760,14400,4122,24.3,339642006,43,61,2524,79,경남,김해,합계,547387
0.004764286,80,109985,0.019,53943,124506,1157,932,27.6,59968518,22,36,968,80,경남,밀양,합계,109985
0.006441991,81,270879,0.0556,146373,124506,11092,3959,20.8,242501948,14,73,1566,81,경남,거제,합계,270879
