crimeRate,city_idx,total,out_per,total_m,total_w,out_m,out_w,suicide_rate,tax,death,injured,cctv,city_id,city_name,district_name,age,65세인구,유흥주점
0.005765048,52,169643,0.0303,87634,82009,2909,2224,24.3,164317548,29,56,1236,52,충남,서산,65세이상,27440,4888
0.004379962,53,124202,0.037,62317,61885,2467,2130,23.9,44666034,35,50,1398,53,충남,논산,65세이상,27247,3710
0.005709364,55,166043,0.0408,88082,77961,4606,2170,20.4,187110907,29,39,18,55,충남,당진,65세이상,26451,6710
0.00510972,56,657766,0.0111,325061,332705,3457,3855,17,283527962,53,80,4439,56,전북,전주,65세이상,81974,16688
0.006751232,57,276394,0.0239,141847,134547,4291,2304,25.8,129687029,27,37,2387,57,전북,군산,65세이상,41542,14478
0.006101107,58,300929,0.0172,151324,149605,2761,2427,25.1,102550157,35,46,2036,58,전북,익산,65세이상,47318,6380
0.005610723,59,109968,0.0237,54687,55281,1573,1032,23.5,33636074,23,54,1675,59,전북,정읍,65세이상,27139,5251
0.006194116,60,80076,0.0136,39215,40861,462,629,26.5,27346625,23,27,1414,60,전북,남원,65세이상,20210,3780
0.005682367,61,82888,0.0269,41139,41749,1496,734,38.4,33807874,24,30,518,61,전북,김제,65세이상,23767,2379
0.009840663,62,237484,0.0137,119424,118060,1836,1427,25.8,73829658,17,22,29,62,전남,목포,65세이상,32481,9362
0.007750297,63,273925,0.0171,140153,133772,3193,1480,17.7,228301077,30,71,1528,63,전남,여수,65세이상,44687,21798
0.006870054,64,266519,0.0078,132865,133654,899,1179,21.2,100608771,33,49,1210,64,전남,순천,65세이상,36418,18944
0.000600686,65,98221,0.0291,48778,49443,1662,1201,26.9,124287651,17,24,20,65,전남,나주,65세이상,22024,3575
0.005167493,66,144364,0.0125,74452,69912,861,940,22.3,112656284,16,30,569,66,전남,광양,65세이상,16229,14916
0.005625441,67,510360,0.0116,258761,251599,3606,2338,24.4,294511633,49,80,4315,67,경북,포항,65세이상,67812,22713
