범죄대분류,범죄중분류,계,서울,부산,대구,인천,광주,대전,울산,경기 부천,경기 수원,경기 성남,전북 전주,경기 안양,충북 청주,경남 창원,경기 광명,경북 포항,경기 안산,경남 진주,경기 고양,제주,전남 목포,경기 의정부,전북 익산,전북 군산,경북 구미,충남 천안,전남 여수,강원 춘천,강원 원주,경기 평택,경북 경주,경남 김해,전남 순천,경기 군포,경기 남양주,강원 강릉,충북 충주,경북 안동,경북 경산,충남 아산,경남 거제,경북 김천,전북 정읍,경기 용인,경기 시흥,경기 파주,경남 양산,경기 이천,경기 구리,충남 서산,충북 제천,충남 논산,기타도시,도시이외
지능범죄,사기,247293,53879,20533,11507,13141,7669,7250,5606,5727,5749,4229,2945,2249,3412,6221,1295,2100,4197,1441,3861,3429,1579,2117,1264,1371,2782,3031,1213,780,1450,2638,1143,2611,1190,942,1878,909,848,793,992,1167,1418,575,493,3312,2453,1888,1256,846,1229,819,538,632,19744,14465
지능범죄,횡령,46734,13314,2980,1725,2763,1416,1216,794,1084,1231,1038,365,557,437,710,385,252,912,165,1218,561,208,525,118,178,297,573,146,256,241,482,140,357,156,265,530,145,140,90,154,314,190,73,69,655,443,400,180,178,191,125,78,68,3536,1988
지능범죄,배임,4289,1135,315,132,173,109,82,110,64,62,60,44,37,56,62,6,22,54,19,76,167,31,17,20,16,25,49,17,11,27,36,20,49,20,21,50,9,8,11,14,18,30,12,7,74,29,48,19,19,11,13,7,11,434,308
풍속범죄,성풍속범죄,16219,5421,1164,933,1190,376,438,257,360,368,315,233,244,192,164,46,131,491,37,288,263,104,126,38,51,68,185,28,52,53,163,46,92,42,46,77,30,35,12,63,64,38,17,28,156,305,71,52,27,104,14,13,7,773,306
풍속범죄,도박범죄,8272,1320,921,485,390,216,251,146,115,343,115,92,69,154,124,34,124,131,27,108,144,59,39,51,53,66,105,49,24,48,52,57,56,78,33,53,19,33,25,36,46,113,26,20,63,89,34,24,28,22,38,22,29,722,744
특별경제범죄,특별경제범죄,86329,22075,13868,3421,5751,2535,1635,1289,1449,1596,1749,577,902,704,1028,818,443,1597,399,1278,1251,350,613,363,227,481,910,280,283,342,928,287,640,273,383,589,253,204,520,257,304,230,143,96,831,623,667,310,209,299,113,137,113,6492,3027
마약범죄,마약범죄,6411,1360,759,393,557,69,78,67,56,118,79,32,37,73,123,15,19,71,90,82,26,13,103,5,7,44,52,23,39,61,124,28,121,14,15,24,5,18,19,11,36,22,17,1,137,41,48,25,10,16,18,63,3,663,509
보건범죄,보건범죄,14602,3941,1832,417,654,760,204,230,162,368,244,144,88,96,259,90,100,134,123,223,168,42,86,88,97,118,63,78,31,93,94,53,126,24,45,261,37,56,18,34,57,71,25,37,170,302,102,57,41,62,20,44,21,1054,843
환경범죄,환경범죄,2955,53,198,19,69,8,13,53,14,25,4,11,5,28,77,2,27,29,20,30,46,12,15,40,15,16,28,38,8,14,355,27,125,5,0,52,7,9,9,10,7,19,7,7,60,58,51,7,43,9,24,13,12,617,503
교통범죄,교통범죄,596665,74958,35841,39725,31163,23412,13556,16600,10467,14715,8900,6444,5909,8972,12652,2740,7475,11372,3351,11926,14438,4699,3670,3202,3497,8505,9104,5083,5008,6012,7646,4839,8691,4954,2121,4795,2737,3902,1750,2464,2296,4832,2121,1115,7716,7830,6218,3759,2653,2151,1767,1839,1182,58958,43877
노동범죄,노동범죄,1145,215,190,31,28,13,14,63,21,28,9,34,34,7,19,6,15,26,0,13,9,18,5,1,5,13,11,6,2,2,29,3,14,16,4,6,15,1,6,6,0,14,6,2,5,5,5,10,0,2,2,1,3,107,45
안보범죄,안보범죄,121,38,4,4,20,3,4,2,2,3,2,1,2,0,1,1,0,2,1,1,0,1,0,0,0,0,11,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,7,6
선거범죄,선거범죄,760,24,24,18,19,9,8,15,0,2,2,9,3,5,17,3,5,1,30,4,23,6,0,2,0,9,1,7,1,1,8,9,4,5,0,0,7,1,2,4,4,3,11,7,8,3,11,3,9,2,3,12,5,119,267
병역범죄,병역범죄,18726,4591,959,800,1200,371,630,382,355,433,362,186,201,316,356,61,243,332,92,360,242,98,188,55,82,214,414,82,79,110,156,76,198,91,53,312,33,53,38,82,99,112,37,27,235,228,142,158,71,71,36,22,72,1636,808
기타범죄,기타범죄,216197,41752,19868,9766,13677,5301,4602,4881,3804,4856,3297,2262,1924,2838,3655,1138,2130,3293,933,3473,4461,1471,1642,1142,1765,1307,2693,2846,910,1130,2122,1239,2018,811,672,2361,899,697,532,802,888,957,464,401,2304,1961,1355,978,829,699,669,443,505,20515,17797
