범죄대분류,범죄중분류,도시,발생수,발생년도
강력범죄,살인기수,서울,67,2015
강력범죄,살인미수등,서울,96,2015
강력범죄,강도,서울,274,2015
강력범죄,강간,서울,969,2015
강력범죄,유사강간,서울,118,2015
강력범죄,강제추행,서울,4282,2015
강력범죄,기타 강간 강제추행등,서울,94,2015
강력범죄,방화,서울,315,2015
절도범죄,절도,서울,55280,2015
폭력범죄,상해,서울,7174,2015
폭력범죄,폭행,서울,36904,2015
폭력범죄,체포 감금,서울,186,2015
폭력범죄,협박,서울,1844,2015
폭력범죄,약취 유인,서울,45,2015
폭력범죄,폭력행위등,서울,6725,2015
폭력범죄,공갈,서울,634,2015
폭력범죄,손괴,서울,11735,2015
지능범죄,직무유기,서울,106,2015
지능범죄,직권남용,서울,98,2015
지능범죄,증수뢰,서울,57,2015
지능범죄,통화,서울,801,2015
지능범죄,문서 인장,서울,3336,2015
지능범죄,유가증권인지,서울,125,2015
지능범죄,사기,서울,53879,2015
지능범죄,횡령,서울,13314,2015
지능범죄,배임,서울,1135,2015
풍속범죄,성풍속범죄,서울,5421,2015
풍속범죄,도박범죄,서울,1320,2015
특별경제범죄,특별경제범죄,서울,22075,2015
마약범죄,마약범죄,서울,1360,2015
보건범죄,보건범죄,서울,3941,2015
환경범죄,환경범죄,서울,53,2015
교통범죄,교통범죄,서울,74958,2015
노동범죄,노동범죄,서울,215,2015
안보범죄,안보범죄,서울,38,2015
선거범죄,선거범죄,서울,24,2015
병역범죄,병역범죄,서울,4591,2015
기타범죄,기타범죄,서울,41752,2015
강력범죄,살인기수,부산,20,2015
강력범죄,살인미수등,부산,41,2015
강력범죄,강도,부산,161,2015
강력범죄,강간,부산,383,2015
강력범죄,유사강간,부산,24,2015
강력범죄,강제추행,부산,991,2015
강력범죄,기타 강간 강제추행등,부산,37,2015
강력범죄,방화,부산,117,2015
절도범죄,절도,부산,20136,2015
폭력범죄,상해,부산,4675,2015
폭력범죄,폭행,부산,8852,2015
폭력범죄,체포 감금,부산,67,2015
폭력범죄,협박,부산,682,2015
폭력범죄,약취 유인,부산,6,2015
폭력범죄,폭력행위등,부산,2449,2015
폭력범죄,공갈,부산,558,2015
폭력범죄,손괴,부산,3639,2015
지능범죄,직무유기,부산,37,2015
지능범죄,직권남용,부산,28,2015
지능범죄,증수뢰,부산,15,2015
지능범죄,통화,부산,75,2015
지능범죄,문서 인장,부산,1259,2015
지능범죄,유가증권인지,부산,5,2015
지능범죄,사기,부산,20533,2015
지능범죄,횡령,부산,2980,2015
지능범죄,배임,부산,315,2015
풍속범죄,성풍속범죄,부산,1164,2015
풍속범죄,도박범죄,부산,921,2015
특별경제범죄,특별경제범죄,부산,13868,2015
마약범죄,마약범죄,부산,759,2015
보건범죄,보건범죄,부산,1832,2015
환경범죄,환경범죄,부산,198,2015
교통범죄,교통범죄,부산,35841,2015
노동범죄,노동범죄,부산,190,2015
안보범죄,안보범죄,부산,4,2015
선거범죄,선거범죄,부산,24,2015
병역범죄,병역범죄,부산,959,2015
기타범죄,기타범죄,부산,19868,2015
강력범죄,살인기수,인천,17,2015
강력범죄,살인미수등,인천,34,2015
강력범죄,강도,인천,103,2015
강력범죄,강간,인천,304,2015
강력범죄,유사강간,인천,35,2015
강력범죄,강제추행,인천,924,2015
강력범죄,기타 강간 강제추행등,인천,31,2015
강력범죄,방화,인천,94,2015
절도범죄,절도,인천,10679,2015
폭력범죄,상해,인천,2179,2015
폭력범죄,폭행,인천,9774,2015
폭력범죄,체포 감금,인천,81,2015
폭력범죄,협박,인천,433,2015
폭력범죄,약취 유인,인천,12,2015
폭력범죄,폭력행위등,인천,1988,2015
폭력범죄,공갈,인천,222,2015
폭력범죄,손괴,인천,3365,2015
지능범죄,직무유기,인천,14,2015
지능범죄,직권남용,인천,12,2015
지능범죄,증수뢰,인천,11,2015
지능범죄,통화,인천,121,2015
지능범죄,문서 인장,인천,689,2015
지능범죄,유가증권인지,인천,14,2015
지능범죄,사기,인천,13141,2015
지능범죄,횡령,인천,2763,2015
지능범죄,배임,인천,173,2015
풍속범죄,성풍속범죄,인천,1190,2015
풍속범죄,도박범죄,인천,390,2015
특별경제범죄,특별경제범죄,인천,5751,2015
마약범죄,마약범죄,인천,557,2015
보건범죄,보건범죄,인천,654,2015
환경범죄,환경범죄,인천,69,2015
교통범죄,교통범죄,인천,31163,2015
노동범죄,노동범죄,인천,28,2015
안보범죄,안보범죄,인천,20,2015
선거범죄,선거범죄,인천,19,2015
병역범죄,병역범죄,인천,1200,2015
기타범죄,기타범죄,인천,13677,2015
강력범죄,살인기수,대구,13,2015
강력범죄,살인미수등,대구,23,2015
강력범죄,강도,대구,60,2015
강력범죄,강간,대구,216,2015
강력범죄,유사강간,대구,21,2015
강력범죄,강제추행,대구,645,2015
강력범죄,기타 강간 강제추행등,대구,20,2015
강력범죄,방화,대구,86,2015
절도범죄,절도,대구,12759,2015
폭력범죄,상해,대구,2736,2015
폭력범죄,폭행,대구,6607,2015
폭력범죄,체포 감금,대구,39,2015
폭력범죄,협박,대구,443,2015
폭력범죄,약취 유인,대구,6,2015
폭력범죄,폭력행위등,대구,1595,2015
폭력범죄,공갈,대구,263,2015
폭력범죄,손괴,대구,3019,2015
지능범죄,직무유기,대구,25,2015
지능범죄,직권남용,대구,14,2015
지능범죄,증수뢰,대구,8,2015
지능범죄,통화,대구,84,2015
지능범죄,문서 인장,대구,691,2015
지능범죄,유가증권인지,대구,9,2015
지능범죄,사기,대구,11507,2015
지능범죄,횡령,대구,1725,2015
지능범죄,배임,대구,132,2015
풍속범죄,성풍속범죄,대구,933,2015
풍속범죄,도박범죄,대구,485,2015
특별경제범죄,특별경제범죄,대구,3421,2015
마약범죄,마약범죄,대구,393,2015
보건범죄,보건범죄,대구,417,2015
환경범죄,환경범죄,대구,19,2015
교통범죄,교통범죄,대구,39725,2015
노동범죄,노동범죄,대구,31,2015
안보범죄,안보범죄,대구,4,2015
선거범죄,선거범죄,대구,18,2015
병역범죄,병역범죄,대구,800,2015
기타범죄,기타범죄,대구,9766,2015
강력범죄,살인기수,대전,8,2015
강력범죄,살인미수등,대전,16,2015
강력범죄,강도,대전,64,2015
강력범죄,강간,대전,181,2015
강력범죄,유사강간,대전,14,2015
강력범죄,강제추행,대전,362,2015
강력범죄,기타 강간 강제추행등,대전,12,2015
강력범죄,방화,대전,41,2015
절도범죄,절도,대전,9495,2015
폭력범죄,상해,대전,1516,2015
폭력범죄,폭행,대전,4054,2015
폭력범죄,체포 감금,대전,36,2015
폭력범죄,협박,대전,286,2015
폭력범죄,약취 유인,대전,4,2015
폭력범죄,폭력행위등,대전,1045,2015
폭력범죄,공갈,대전,94,2015
폭력범죄,손괴,대전,1804,2015
지능범죄,직무유기,대전,20,2015
지능범죄,직권남용,대전,14,2015
지능범죄,증수뢰,대전,3,2015
지능범죄,통화,대전,72,2015
지능범죄,문서 인장,대전,451,2015
지능범죄,유가증권인지,대전,4,2015
지능범죄,사기,대전,7250,2015
지능범죄,횡령,대전,1216,2015
지능범죄,배임,대전,82,2015
풍속범죄,성풍속범죄,대전,438,2015
풍속범죄,도박범죄,대전,251,2015
특별경제범죄,특별경제범죄,대전,1635,2015
마약범죄,마약범죄,대전,78,2015
보건범죄,보건범죄,대전,204,2015
환경범죄,환경범죄,대전,13,2015
교통범죄,교통범죄,대전,13556,2015
노동범죄,노동범죄,대전,14,2015
안보범죄,안보범죄,대전,4,2015
선거범죄,선거범죄,대전,8,2015
병역범죄,병역범죄,대전,630,2015
기타범죄,기타범죄,대전,4602,2015
강력범죄,살인기수,광주광역시,11,2015
강력범죄,살인미수등,광주광역시,7,2015
강력범죄,강도,광주광역시,44,2015
강력범죄,강간,광주광역시,216,2015
강력범죄,유사강간,광주광역시,17,2015
강력범죄,강제추행,광주광역시,495,2015
강력범죄,기타 강간 강제추행등,광주광역시,22,2015
강력범죄,방화,광주광역시,48,2015
절도범죄,절도,광주,8438,2015
폭력범죄,상해,광주광역시,1162,2015
폭력범죄,폭행,광주광역시,5386,2015
폭력범죄,체포 감금,광주광역시,26,2015
폭력범죄,협박,광주광역시,297,2015
폭력범죄,약취 유인,광주광역시,5,2015
폭력범죄,폭력행위등,광주광역시,817,2015
폭력범죄,공갈,광주광역시,118,2015
폭력범죄,손괴,광주광역시,1791,2015
지능범죄,직무유기,광주,22,2015
지능범죄,직권남용,광주,10,2015
지능범죄,증수뢰,광주,10,2015
지능범죄,통화,광주,30,2015
지능범죄,문서 인장,광주,455,2015
지능범죄,유가증권인지,광주,3,2015
지능범죄,사기,광주,7669,2015
지능범죄,횡령,광주,1416,2015
지능범죄,배임,광주,109,2015
